Enrolment (2013-14),,Number of Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC Enrolment ,,Muslim Enrolment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST Enrolment,,OBC Enrolment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER,,,,,,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Grossness,,Enrolment by medium of instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,District Code,District Name,Total Enrolment -Government Schools,,,,,,,,Total Enrolment- Private Schools,,,,,,,,Rural Enrolment -Government schools,,,,,,,,Rural Enrolment -Private schools,,,,,,,,Enrolment (2009-10),,,,,,,,Enrolment (2010-11),,,,,,,,Enrolment (2011-12),,,,,,,,Enrolment (2012-13),,,,,,,,Enrolment (2013-14),,,,,,,,SC Enrolment ,,,,ST Enrolment ,,,, Primary,,,Upper Primary,,,Primary,,, Upper Primary,,,Number of Girls by School Category,,,,,,Girls Enrolment (2012-13),,,,,,,,Enrolment of children with disability (Boys),,,,,,,,Enrolment of children with disability (Girls),,,,,,,,,,Enrolment by Medium of Instruction I,,,,,,,Enrolment by Medium of Instructions II,,,,,,,Enrolment by Medium of Instructions III,,,,,,,Number of Repeaters,,,,,,,,Muslim Enrolment,,,,OBC Enrolment,,,,,,,,,,,,,,,,,,,
State Code,State Name,Distcd,Distname,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No Response,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,SC Enrolment Primary,SC Enrolment Upper Primary,SC Girls Enrolment Primary,SC Girls Enrolment Upper Primary,ST Enrolment Primary,ST Girls Enrolment Primary,ST Enrolment Upper Primary,ST Girls Enrolment Upper Primary,2011-12,2012-13,2013-14,2011-12,2012-13,2013-14,2011-12,2012-13,2013-14,2011-12,2012-13,2013-14,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Total Number of Girls,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,Primary,Upper primary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Grade I,Grade II,Grade III,Grade IV,Grade V,Grade VI,Grade VII,Grade VIII,Primary Enrolment,Upper Primary Enrolment,Girls Enrolment Primary,Girls Enrolment Upper Primary,Primary Enrolment,Upper Primary Enrolment,Girls Enrolment Primary,Girls Enrolment Upper Primary,,,,,,,,,,,,,,,,
Statecd,State Name ,distcd,distname,Enr Govt1,Enr Govt2,Enr Govt3,Enr Govt4,Enr Govt5,Enr Govt6,Enr Govt7,Enr Govt9,Enr Pvt1,Enr Pvt2,Enr Pvt3,Enr Pvt4,Enr Pvt5,Enr Pvt6,Enr Pvt7,Enr Pvt9,Enr R Govt1,Enr R Govt2,Enr R Govt3,Enr R Govt4,Enr R Govt5,Enr R Govt6,Enr R Govt7,Enr R Govt9,Enr R Pvt1,Enr R Pvt2,Enr R Pvt3,Enr R Pvt4,Enr R Pvt5,Enr R Pvt6,Enr R Pvt7,Enr R Pvt9,Enr Py4 C1,Enr Py4 C2,Enr Py4 C3,Enr Py4 C4,Enr Py4 C5,Enr Py4 C6,Enr Py4 C7,Enr Py4 C8,Enr Py3 C1,Enr Py3 C2,Enr Py3 C3,Enr Py3 C4,Enr Py3 C5,Enr Py3 C6,Enr Py3 C7,Enr Py3 C8,Enr Py2 C1,Enr Py2 C2,Enr Py2 C3,Enr Py2 C4,Enr Py2 C5,Enr Py2 C6,Enr Py2 C7,Enr Py2 C8,Enr Py1 C1,Enr Py1 C2,Enr Py1 C3,Enr Py1 C4,Enr Py1 C5,Enr Py1 C6,Enr Py1 C7,Enr Py1 C8,Enr Cy C1,Enr Cy C2,Enr Cy C3,Enr Cy C4,Enr Cy C5,Enr Cy C6,Enr Cy C7,Enr Cy C8,Sc Enrp Cy,Sc Enrup Cy,Scg Enrp Cy,Scg Enrup Cy,St Enrp Cy,Stg Enrp Cy,St Enrup Cy,Stg Enrup Cy,Gerp Py2,Gerp Py1,Gerp Cy,Gerup Py2,Gerup Py1,Gerup Cy,Nerp Py2,Nerp Py1,Nerp Cy,Nerup Py2,Nerup Py1,Nerup Cy,Pc Girls1,Pc Girls2,Pc Girls3,Pc Girls4,Pc Girls5,Pc Girls,Enr G C1,Enr G C2,Enr G C3,Enr G C4,Enr G C5,Enr G C6,Enr G C7,Enr G C8,Enr Dis B C1,Enr Dis B C2,Enr Dis B C3,Enr Dis B C4,Enr Dis B C5,Enr Dis B C6,Enr Dis B C7,Enr Dis B C8,Enr Dis G C1,Enr Dis G C2,Enr Dis G C3,Enr Dis G C4,Enr Dis G C5,Enr Dis G C6,Enr Dis G C7,Enr Dis G C8,Grossness P,Grossness Up,Enr Med1 1,Enr Med1 2,Enr Med1 3,Enr Med1 4,Enr Med1 5,Enr Med1 6,Enr Med1 7,Enr Med2 1,Enr Med2 2,Enr Med2 3,Enr Med2 4,Enr Med2 5,Enr Med2 6,Enr Med2 7,Enr Med3 1,Enr Med3 2,Enr Med3 3,Enr Med3 4,Enr Med3 5,Enr Med3 6,Enr Med3 7,Rep C1,Rep C2,Rep C3,Rep C4,Rep C5,Rep C6,Rep C7,Rep C8,Muslim P,Muslim Up,Muslim G P,Muslim G Up,Obc P,Obc Up,Obc G P,Obc G Up,,,,,,,,,,,,,,,,
35,ANDAMAN & NICOBAR ISLANDS                         ,3501,ANDAMANS                                          ,3212,3211,10330,0,918,3690,0,0,2105,2277,4960,0,0,1428,0,0,1783,2925,4058,0,145,1796,0,0,1362,895,2297,0,0,1108,0,0,4260,4178,4171,4351,4307,4441,4337,4270,3843,3915,3897,3976,3988,4180,4025,4053,4005,3952,3999,4025,4081,4287,4239,4202,4061,3914,3936,4047,4073,4084,4261,4214,3977,4016,3858,3925,4056,4009,4075,4215,0,0,0,0,499,243,306,132,0,0,107.75,0,0,99.37,0,0,94.13,0,0,78.27,2544,2603,7469,0,449,15599,1948,1898,1866,1941,1995,1910,2022,2019,29,29,27,20,23,31,19,23,10,22,19,15,18,16,17,14,17324,9687,4229,3023,12117,0,536,2919,0,736,1233,1247,0,129,1413,0,143,887,1335,0,0,413,0,49,9,5,10,5,13,11,11,2481,1448,1252,706,2872,1789,1436,893,,,,,,,,,,,,,,,,
35,ANDAMAN & NICOBAR ISLANDS                         ,3503,MIDDLE AND NORTH ANDAMANS                         ,3837,2885,2350,0,1124,3588,0,0,466,738,0,0,0,214,0,0,3837,2885,2350,0,1124,3588,0,0,466,738,0,0,0,214,0,0,1989,1977,2053,2168,2127,2537,2576,2270,1899,1946,1970,2020,2143,2161,2444,2479,1959,1896,1929,1965,1988,2128,2096,2342,1742,1954,1890,1920,1957,2016,2054,2016,1785,1760,1930,1876,1884,1949,1981,2037,0,0,0,0,93,41,50,17,0,0,104.02,0,0,97.17,0,0,87.33,0,0,74.06,2128,1788,1173,0,538,7494,894,884,947,952,911,943,972,991,7,12,13,10,13,16,10,14,5,7,9,12,11,6,7,8,7753,4548,1599,1712,1030,0,152,1427,0,1599,1142,677,0,494,875,0,1060,721,620,0,284,1392,0,14,17,21,13,10,4,2,4,165,112,94,61,2519,1783,1291,858,,,,,,,,,,,,,,,,
35,ANDAMAN & NICOBAR ISLANDS                         ,3502,NICOBARS                                          ,1575,743,364,0,627,1061,0,0,0,0,0,0,0,0,0,0,1575,743,364,0,627,1061,0,0,0,0,0,0,0,0,0,0,589,468,550,498,556,611,624,657,506,559,482,561,519,574,590,623,613,467,542,472,530,491,563,561,625,618,488,532,476,509,479,531,691,628,605,489,507,480,506,464,0,0,0,0,2141,1035,1026,504,0,0,104.89,0,0,88.74,0,0,88.94,0,0,63.59,784,340,178,0,308,2135,344,306,288,234,248,244,236,235,5,5,5,4,5,9,3,3,1,0,1,3,4,4,1,3,2476,1039,932,599,364,0,242,478,0,643,144,0,0,385,541,0,0,0,0,0,0,42,0,19,31,18,16,18,22,22,20,79,51,45,25,22,7,12,4,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2801,ADILABAD                                          ,129192,47480,1564,70,1908,30812,56624,0,55994,43071,0,0,0,11957,31967,0,119793,45191,1246,70,1439,26969,48715,0,26815,27595,0,0,0,7362,13076,0,71136,60038,55569,54474,53642,46190,43520,41255,71023,63152,57598,52787,52828,47326,43455,38956,70540,63903,60337,54386,51894,48036,46298,40154,65876,61660,57168,53878,51002,46915,46803,43639,61129,57500,56599,53938,52049,46483,44824,43462,47689,26442,22916,13166,76161,36874,27801,13412,0,0,112.47,0,0,79.16,0,0,91.91,0,0,62.08,92306,43986,940,46,769,202561,29294,27812,27553,25947,25301,22991,22006,21657,298,282,267,314,259,127,147,117,178,218,197,174,179,105,113,93,229820,105678,133533,58270,303,29,0,28731,57369,41051,25676,1261,0,1908,13183,24598,12457,7354,0,41,0,1090,5803,9,2,0,2,0,0,2,0,33920,14735,17204,7888,116403,61010,55825,29771,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2822,ANANTAPUR                                         ,149310,65821,2381,0,6056,4700,90843,0,88163,51067,765,0,0,2150,45587,0,130236,57663,1793,0,5130,3988,72176,0,35308,29994,765,0,0,1089,16494,0,70330,65868,63435,61999,63379,56265,55018,51599,71499,69534,66034,63070,63054,62389,55003,48836,70262,69406,66782,63426,62033,60701,61762,49474,68004,67460,66925,64828,62220,61206,60548,56966,69174,66431,66550,65911,64793,60412,60394,56035,56319,29766,27450,15016,17004,7944,8073,3856,0,0,94.71,0,0,77.42,0,0,78.04,0,0,56.67,115169,56125,1467,0,3076,247147,32597,31892,32041,31830,31227,29508,29747,28305,439,660,593,616,588,399,438,358,325,448,488,478,505,342,421,339,274251,129435,155518,72688,307,0,17,587,74609,76728,42277,2839,0,6039,6672,59776,5736,2020,0,0,0,100,1564,0,0,0,0,0,0,0,0,34813,17050,17231,8794,192575,100859,92870,50090,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2823,CHITTOOR                                          ,160467,40315,4348,0,3982,2346,92519,0,93853,32911,1127,0,0,4766,52763,0,142687,33802,2211,0,3982,2017,76805,0,41538,16179,1021,0,0,782,20640,0,64898,63466,62029,62056,64965,59984,59568,56046,67675,65381,63670,62094,63082,64058,59179,55914,65065,65984,64217,62538,61943,60864,63478,56047,65418,62640,64802,63099,62311,59948,60100,60038,63786,63272,62225,64373,63086,59948,58961,57532,66313,37057,32484,18147,19146,9165,8323,3934,0,0,93.46,0,0,79.8,0,0,75.36,0,0,57.41,123561,35564,3763,0,2008,238216,30600,30335,29860,31206,30499,29104,28591,28021,527,628,708,728,824,433,414,357,391,516,522,534,599,340,369,326,255411,126933,153709,39232,266,0,231,184,64926,93514,31442,5209,0,3751,6928,77471,6686,2997,0,0,0,0,2247,87,53,62,52,70,272,219,251,35635,18029,17469,8990,149631,83558,72463,40963,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2820,CUDDAPAH                                          ,113377,22718,2427,0,1941,3896,51915,0,78538,54812,0,0,0,16135,47513,0,92161,20181,1028,0,1941,2998,39250,0,30454,23049,0,0,0,2544,17991,0,56984,51857,50853,49546,49513,44860,44366,39859,57568,54546,51289,50540,49425,45492,43167,39273,57658,53631,51992,48551,49129,47779,46419,38596,56368,52149,51305,49398,47702,47160,46063,41282,56794,54036,52781,51771,51207,46234,45314,40683,49808,23739,24348,11770,10594,5081,3654,1736,0,0,102.38,0,0,80.76,0,0,73.05,0,0,53.08,96714,37389,1344,0,741,195012,27485,26183,25807,25166,25027,22688,22373,20283,767,899,944,801,588,234,209,160,689,805,851,641,425,194,182,201,190223,86910,124335,35014,820,0,0,1562,50567,57851,39823,1607,0,1941,18769,45843,14207,3238,0,0,0,142,3101,167,184,161,125,123,212,215,224,47614,20222,24355,10217,105966,53199,51812,26261,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2814,EAST GODAVARI                                     ,176286,43801,3591,0,699,12236,122285,0,102405,75489,1356,0,292,17987,55830,0,152245,41644,2623,0,473,10914,100550,0,53472,52092,940,0,292,7464,22612,0,74931,74670,76104,76379,75821,72623,69609,65824,88624,87813,84444,82877,83925,79006,73167,66563,84487,86266,86638,81706,82061,79774,76802,68188,80117,81182,83723,82795,79414,78156,78439,72286,77830,78724,79957,80734,81124,75982,76364,73961,84881,46033,41477,23109,22657,11024,10935,5603,0,0,97.6,0,0,82.62,0,0,81.98,0,0,62.98,139009,59322,2721,0,416,306693,37699,38463,38722,39032,39747,37676,37975,37379,527,603,661,627,552,402,386,355,396,452,496,485,454,321,324,277,334617,172528,184429,52310,301,0,526,8868,97150,97995,71201,4646,0,465,23918,82186,533,148,0,0,0,0,0,41,15,3,4,5,25,8,18,4829,2575,2335,1288,173829,97618,84786,48943,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2817,GUNTUR                                            ,152395,46282,3634,0,3288,2636,82696,0,71456,54351,618,0,210,36656,49702,0,127774,41251,3634,0,3288,1747,66287,0,40633,25984,618,0,0,10401,23297,0,62250,59187,59149,57736,57649,54073,51542,48035,80944,75341,72105,69087,70287,65872,60946,54516,78252,75942,73486,68198,68397,67227,64468,55660,79882,74883,74877,71332,69182,66551,67133,59585,76393,74591,72591,70402,69946,65514,65344,61304,91995,46208,44886,22349,31129,15000,11484,5397,0,0,93.51,0,0,73.34,0,0,76.61,0,0,55.16,115562,56149,1753,0,1576,269658,36761,36092,35446,34590,33908,31854,31630,29377,844,987,976,910,902,609,665,649,657,813,800,722,668,598,717,670,298150,144510,166960,58473,443,0,210,5801,77276,55663,55138,3809,0,3288,58913,56877,10655,2145,0,0,0,111,323,230,146,154,152,117,47,15,9,39590,18707,19708,9377,132998,68302,65340,33322,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2805,HYDERABAD                                         ,76058,855,1180,0,238,1612,31233,0,227433,77303,11981,48,85,46723,140149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84336,81174,79534,78291,75905,73528,71987,62187,89762,86779,83432,81877,80130,75421,71118,63271,88315,86590,84382,81152,79356,76089,73147,62888,85084,83435,83101,80642,78384,74952,72597,64155,87267,83503,83112,81643,78875,75989,74036,67372,40255,21034,20278,10667,11959,5973,4951,2369,0,0,118.85,0,0,95.61,0,0,92.9,0,0,69.86,156459,41090,7205,18,287,319047,43638,41445,41189,41208,39946,38786,37834,35001,785,863,765,625,494,178,158,177,795,743,639,520,398,189,199,185,323931,158840,235689,75070,13161,48,323,47139,141455,44261,6770,0,0,0,1318,14065,30286,1866,0,0,0,163,16049,174,190,170,181,196,80,95,82,179942,91244,90390,48618,100662,53384,50131,26460,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2803,KARIMNAGAR                                        ,85774,27394,3373,0,9799,4556,72492,0,88007,73963,0,0,0,11864,57631,0,76829,25739,2947,0,9799,3937,64988,0,46493,53176,0,0,0,7629,27628,0,66377,59945,62107,63870,67440,64958,65237,63254,64623,59694,60417,62558,65713,66061,66515,63375,64982,58233,59334,59790,63027,62334,65473,62218,58859,54161,54894,55644,58469,58392,60933,61173,58307,49264,51191,52391,54190,55775,57971,58365,51744,34306,24950,17100,13559,6451,7494,3692,0,0,98.2,0,0,83.65,0,0,79.3,0,0,64.5,84657,47921,1771,0,5001,211537,27565,23288,24428,25136,26195,27405,28479,29041,681,838,962,880,736,611,683,704,636,702,795,665,541,609,691,630,214261,132701,70461,58161,3373,0,9799,14584,59034,100117,40713,0,0,0,1702,69072,5118,3070,0,0,0,134,2116,296,228,192,211,168,160,144,117,19530,10212,9415,5112,157532,104565,74817,51675,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2810,KHAMMAM                                           ,108704,41969,3691,0,569,9454,63914,0,54740,29592,0,0,0,14343,32606,0,99479,39474,3371,0,569,8757,54825,0,23226,20577,0,0,0,3690,13955,0,55394,47031,47563,46565,47004,43092,42042,40095,55228,49327,47790,48158,48747,48258,43457,40433,53648,48421,48741,46765,48805,46946,45681,38940,51491,45928,46329,46713,46434,46125,45709,42444,48799,45721,45241,45257,47096,44149,44840,42515,41708,24661,20468,12257,78894,38267,41461,20673,0,0,103.43,0,0,81.43,0,0,84.78,0,0,61.81,79940,34899,2274,0,310,177925,23253,22278,22123,22022,22842,21826,22430,21151,328,854,1072,1041,782,224,246,197,271,831,944,820,604,192,263,185,190260,99821,120761,50211,324,0,0,7373,62376,42941,22907,3367,0,569,18044,34248,356,54,0,0,0,0,87,198,78,60,63,114,150,166,193,9890,5331,4758,2635,85787,49708,41669,24898,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2816,KRISHNA                                           ,98870,41006,3583,0,687,3369,68845,0,105052,59638,3574,31,260,34013,59769,0,79803,39722,2146,0,687,2805,54927,0,55861,34997,190,0,260,14467,24744,0,61866,61129,62815,63571,64483,57918,57710,52615,68336,66484,65193,65859,68145,62037,58644,53097,66115,65195,64802,62648,64906,61672,59657,51683,65339,62525,63367,61775,61719,62242,62251,56075,62300,62964,61661,61820,62240,59523,61057,58298,78472,43783,38204,21812,16675,8230,7227,3511,0,0,92.91,0,0,77.1,0,0,77.66,0,0,59.47,100703,51359,5595,3,357,239639,30015,30644,30113,30270,30650,29272,29987,28688,665,689,764,888,842,590,634,629,489,511,650,662,573,571,602,658,259945,137977,120027,57599,312,31,0,2314,62210,80531,46545,6845,0,947,38424,66667,5265,1435,0,0,0,0,238,8,4,2,2,3,16,7,24,20213,9968,9973,5141,132436,74561,64657,36923,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2821,KURNOOL                                           ,180116,76613,3212,0,7827,5131,92471,0,99383,65972,497,0,0,489,53790,0,151284,72517,2065,0,7751,3524,74525,0,43188,36943,0,0,0,84,18290,0,83442,79932,78331,74127,71699,61576,59287,52163,84116,82059,78070,75232,73815,63822,58583,50915,84895,84311,81467,76291,74963,65190,62089,51654,82630,81997,81475,77705,74368,66791,64775,57137,80197,80869,80953,79438,76727,66590,65763,58911,83762,41157,40982,19617,11645,5743,5261,2454,0,0,99.16,0,0,73.7,0,0,81.78,0,0,54.01,137685,68863,2246,0,3469,283511,38491,39033,39468,38639,37252,31885,30989,27754,601,641,693,717,677,439,594,431,477,567,607,610,561,441,493,505,328394,140163,181952,87302,314,0,0,1102,78061,81029,49379,3395,0,7827,4518,63202,15801,4517,0,0,0,0,3933,7,9,2,0,3,0,1,1,66531,27320,33302,14033,211001,98854,101310,46028,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2807,MAHBUBNAGAR                                       ,190557,89625,2563,0,1884,4892,101506,0,77762,58579,0,0,73,9636,41324,0,179337,89431,2243,0,1884,3900,91610,0,49116,49002,0,0,73,5836,24309,0,108319,80419,74217,68974,64213,58390,55337,53331,104951,83821,75358,68818,66286,59251,55269,50103,104381,83237,78186,70595,67157,63794,58689,52051,96429,80914,77534,72376,67717,64954,61244,53169,93179,80812,78692,74588,71252,65459,62248,57707,75668,35010,37195,17149,50093,24196,18213,8383,0,0,94.05,0,0,70.17,0,0,75.49,0,0,53.48,134002,71937,2231,0,906,284440,44475,39204,39109,36449,34498,32573,30270,27862,561,713,832,823,811,294,334,281,481,626,689,678,626,281,342,265,319890,141307,202196,105198,654,0,0,3155,96840,58550,41477,1909,0,1957,11246,42159,10910,2647,0,0,0,127,3827,22,11,6,3,2,0,0,1,30529,13896,15153,7109,227138,110025,110136,54034,,,,,,,,,,,,,,,,
28,ANDHRA PRADESH                                    ,2804,MEDAK                                             ,134224,52128,5667,100,6346,4439,76169,0,55511,42356,329,0,0,18048,29100,0,124506,49560,4981,100,5876,3982,68370,0,25872,27865,329,0,0,11412,13066,0,76877,54671,52788,51427,51497,47374,46988,45121,74736,60005,55813,53460,53657,48966,46716,43967,70332,59979,58583,54408,53453,51089,50155,44862,63610,57633,56345,54845,52465,50013,49819,46317,62367,55812,56244,54379,54393,49912,49600,47961,54495,29561,26643,14535,28438,13621,9870,4273,0,0,99.71,0,0,79.64,0,0,80.83,0,0,62.38,94609,46961,3420,55,2659,209065,29779,27186,27223,26333,26387,24221,24147,23789,400,392,476,444,445,226,260,196,268,276,391,363,342,217,245,238,229583,115516,134560,52688,881,100,0,1153,63300,49254,35860,5115,0,6346,21455,37926,8940,8313,0,0,0,0,4008,647,50,25,24,32,137,133,109,35664,16755,17197,8544,164387,88915,79815,44115,,,,,,,,,,,,,,,,
