Enrolment (2011-12),,Number of Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC Enrolment ,,Muslim Enrolment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST Enrolment,,OBC Enrolment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER,,,,,,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total Grossness,,Enrolment by medium of instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,District Code,District Name,Total Enrolment -Government Schools,,,,,,Total Enrolment- Private Schools,,,,,,Rural Enrolment -Government schools,,,,,,Rural Enrolment -Private schools,,,,,,Enrolment (2007-08),,,,,,,,Enrolment (2008-09),,,,,,,,Enrolment (2009-10),,,,,,,,Enrolment (2010-11),,,,,,,,Enrolment (2011-12),,,,,,,,SC Enrolment ,,,,ST Enrolment ,,,, Primary,,,Upper Primary,,,Primary,,, Upper Primary,,,Number of Girls,,,,,,Girls Enrolment (2011-12),,,,,,,,Enrolment of children with disability (Boys),,,,,,,,Enrolment of children with disability (Girls),,,,,,,,,,Enrolment by Medium of Instruction I,,,,,Enrolment by Medium of Instructions II,,,,,Enrolment by Medium of Instructions III,,,,,Enrolment by Medium of Instructions IV,,,,,Enrolment by Medium of Instructions V,,,,,Number of Repeaters,,,,,,,,Muslim Enrolment,,,,OBC Enrolment,,,,,,,,,,,,,,,,,,,
State Code,State Name,Distcd,Distname,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,No Response,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,SC Enrolment Primary,SC Enrolment Upper Primary,SC Girls Enrolment Primary,SC Girls Enrolment Upper Primary,ST Enrolment Primary,ST Girls Enrolment Primary,ST Enrolment Upper Primary,ST Girls Enrolment Upper Primary,2008-09,2009-10,2010-11,2008-09,2009-10,2010-11,2008-09,2009-10,2010-11,2008-09,2009-10,2010-11,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Total Number of Girls,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,Grade I,Grade II,Grade III,Grade IV,Grade V,GradeVI,Grade VII,Grade VIII,Primary,Upper primary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Grade I,Grade II,Grade III,Grade IV,Grade V,Grade VI,Grade VII,Grade VIII,Primary Enrolment,Upper Primary Enrolment,Girls Enrolment Primary,Girls Enrolment Upper Primary,Primary Enrolment,Upper Primary Enrolment,Girls Enrolment Primary,Girls Enrolment Upper Primary,,,,,,,,,,,,,,,,
Statecd,State Name ,distcd,distname,Enr Govt1,Enr Govt2,Enr Govt3,Enr Govt4,Enr Govt5,Enr Govt9,Enr Pvt1,Enr Pvt2,Enr Pvt3,Enr Pvt4,Enr Pvt5,Enr Pvt9,Enr R Govt1,Enr R Govt2,Enr R Govt3,Enr R Govt4,Enr R Govt5,Enr R Govt9,Enr R Pvt1,Enr R Pvt2,Enr R Pvt3,Enr R Pvt4,Enr R Pvt5,Enr R Pvt9,Enr Py4 C1,Enr Py4 C2,Enr Py4 C3,Enr Py4 C4,Enr Py4 C5,Enr Py4 C6,Enr Py4 C7,Enr Py4 C8,Enr Py3 C1,Enr Py3 C2,Enr Py3 C3,Enr Py3 C4,Enr Py3 C5,Enr Py3 C6,Enr Py3 C7,Enr Py3 C8,Enr Py2 C1,Enr Py2 C2,Enr Py2 C3,Enr Py2 C4,Enr Py2 C5,Enr Py2 C6,Enr Py2 C7,Enr Py2 C8,Enr Py1 C1,Enr Py1 C2,Enr Py1 C3,Enr Py1 C4,Enr Py1 C5,Enr Py1 C6,Enr Py1 C7,Enr Py1 C8,Enr Cy C1,Enr Cy C2,Enr Cy C3,Enr Cy C4,Enr Cy C5,Enr Cy C6,Enr Cy C7,Enr Cy C8,Sc Enrp Cy,Sc Enrup Cy,Scg Enrp Cy,Scg Enrup Cy,St Enrp Cy,Stg Enrp Cy,St Enrup Cy,Stg Enrup Cy,Gerp Py2,Gerp Py1,Gerp Cy,Gerup Py2,Gerup Py1,Gerup Cy,Nerp Py2,Nerp Py1,Nerp Cy,Nerup Py2,Nerup Py1,Nerup Cy,Pc Girls1,Pc Girls2,Pc Girls3,Pc Girls4,Pc Girls5,Pc Girls,Enr G C1,Enr G C2,Enr G C3,Enr G C4,Enr G C5,Enr G C6,Enr G C7,Enr G C8,Enr Dis B C1,Enr Dis B C2,Enr Dis B C3,Enr Dis B C4,Enr Dis B C5,Enr Dis B C6,Enr Dis B C7,Enr Dis B C8,Enr Dis G C1,Enr Dis G C2,Enr Dis G C3,Enr Dis G C4,Enr Dis G C5,Enr Dis G C6,Enr Dis G C7,Enr Dis G C8,Grossness P,Grossness Up,Enr Med1 1,Enr Med1 2,Enr Med1 3,Enr Med1 4,Enr Med1 5,Enr Med2 1,Enr Med2 2,Enr Med2 3,Enr Med2 4,Enr Med2 5,Enr Med3 1,Enr Med3 2,Enr Med3 3,Enr Med3 4,Enr Med3 5,Enr Med4 1,Enr Med4 2,Enr Med4 3,Enr Med4 4,Enr Med4 5,Enr Med5 1,Enr Med5 2,Enr Med5 3,Enr Med5 4,Enr Med5 5,Rep C1,Rep C2,Rep C3,Rep C4,Rep C5,Rep C6,Rep C7,Rep C8,Muslim P,Muslim Up,Muslim G P,Muslim G Up,Obc P,Obc Up,Obc G P,Obc G Up,,,,,,,,,,,,,,,,
35,A & N Islands                                     ,3501  ,ANDAMANS                                          ,3577,3714,0,0,15815,0,1837,2012,0,0,5835,0,1780,3322,0,0,5633,0,1179,843,0,0,2675,0,4291,4390,4263,4131,4220,4498,4370,3921,4080,3968,4229,4122,4015,4562,4385,4299,4260,4178,4171,4351,4307,4441,4337,4270,3843,3915,3897,3976,3988,4180,4025,4053,4005,3952,3999,4025,4081,4287,4239,4202,154,64,60,31,540,259,316,153,60.36,56.3,0,59.54,56.35,0,50.96,50.11,0,41.48,41.19,0,2622,2718,0,0,10584,15924,1954,1964,1939,1935,2011,2044,2031,2046,41,13,26,18,22,27,25,29,24,14,13,10,17,13,12,14,17167,9800,4040,2878,0,0,14001,784,1468,0,0,3874,248,955,0,0,1898,108,253,0,0,1114,234,172,0,0,763,66,52,68,22,20,16,14,8,2387,1306,1182,641,1469,990,741,513,,,,,,,,,,,,,,,,
35,A & N Islands                                     ,3503  ,MIDDLE AND NORTH ANDAMANS                         ,4322,3719,0,0,7031,0,693,316,0,0,222,0,4322,3719,0,0,7031,0,693,316,0,0,222,0,2199,2208,2184,2433,2658,2634,2307,2089,2034,2143,2191,2139,2452,2806,2400,2152,1989,1977,2053,2168,2127,2537,2576,2270,1899,1946,1970,2020,2143,2161,2444,2479,1959,1896,1929,1965,1988,2128,2096,2342,4,1,2,1,69,34,52,23,,0,0,,0,0,,0,0,,0,0,2409,1956,0,0,3601,7966,957,948,934,953,991,1033,1058,1092,15,9,5,11,15,8,15,15,11,11,10,7,9,8,11,6,8245,5022,1822,2226,0,0,2620,1278,763,0,0,2891,1817,991,0,0,1488,83,8,0,0,202,15,47,0,0,52,42,36,30,22,28,10,20,16,179,110,100,61,1546,1278,789,633,,,,,,,,,,,,,,,,
35,A & N Islands                                     ,3502  ,NICOBARS                                          ,1442,892,0,0,1881,0,24,0,0,0,0,0,1442,892,0,0,1881,0,24,0,0,0,0,0,579,521,569,634,683,705,530,486,498,572,516,589,630,665,692,527,589,468,550,498,556,611,624,657,506,559,482,561,519,574,590,623,613,467,542,472,530,491,563,561,0,0,0,0,1833,891,1148,555,56.39,56.29,0,64.46,61.32,0,45.31,46.52,0,36.9,40.43,0,701,433,0,0,926,2060,298,226,262,238,238,247,281,270,6,4,7,7,3,6,0,2,2,4,3,4,5,4,0,1,2181,1158,867,729,0,0,975,599,163,0,0,680,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,4,0,4,6,2,0,0,0,57,24,29,10,12,0,5,0,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2801  ,ADILABAD                                          ,151726,52379,10744,0,67123,0,60995,40192,5575,0,36384,0,141193,49631,8472,0,58290,0,28878,27302,4208,0,15069,0,70017,62210,58496,52930,51782,49694,47836,47728,71495,60037,57554,55576,51416,46293,45863,42415,71136,60038,55569,54474,53642,46190,43520,41255,71023,63152,57598,52787,52828,47326,43455,38956,70540,63903,60337,54386,51894,48036,46298,40154,51334,26709,25029,13546,83128,40400,25962,12574,125.89,129.28,0,87.63,89.34,0,92.08,103.28,0,61.89,68.94,0,108090,44779,8695,0,52366,213930,34114,31127,29705,26487,25193,24002,23352,19950,171,222,202,139,160,75,65,52,127,132,142,136,99,70,59,58,243709,105478,164971,69739,5770,0,74673,36204,17315,10416,0,22333,15260,6905,860,0,5725,716,1176,0,0,463,590,368,0,0,634,54,20,12,16,14,0,6,6,35563,13828,18476,7544,121044,61223,58364,30377,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2822  ,ANANTAPUR                                         ,151383,79004,7819,0,91765,0,74156,52420,2228,0,39047,0,132773,69843,6961,0,73068,0,35057,29940,1219,0,16165,0,71264,68571,68502,60505,61014,62680,60437,55412,68652,65524,63496,63465,57840,56337,57943,52180,70330,65868,63435,61999,63379,56265,55018,51599,71499,69534,66034,63070,63054,62389,55003,48836,70262,69406,66782,63426,62033,60701,61762,49474,57475,29139,28356,15001,16965,7873,7926,3924,94.83,98.99,0,74.48,78.23,0,73.75,78.07,0,53.8,53.66,0,111183,65140,5073,0,66062,247458,33648,33511,32539,31040,30375,30560,30913,24872,377,469,424,432,361,262,272,191,271,347,347,347,280,188,231,164,264641,121108,161277,88429,1206,0,80756,60253,41306,8696,0,48909,5381,3938,145,0,1248,1174,669,0,0,387,34,14,0,0,24,146,66,30,30,12,72,100,198,33822,15902,17077,8259,191495,96007,93316,48032,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2823  ,CHITTOOR                                          ,161393,43707,6802,0,97335,0,88131,40577,4033,0,52516,0,143644,36797,4311,0,80956,0,40128,20331,1294,0,19553,0,65323,65471,67734,62848,63856,63403,62289,58539,65239,63124,63536,65506,61875,61120,60859,56731,64898,63466,62029,62056,64965,59984,59568,56046,67675,65381,63670,62094,63082,64058,59179,55914,65065,65984,64217,62538,61943,60864,63478,56047,66474,38345,32944,19009,19575,9585,7838,3845,90.01,92.95,0,78.04,81.94,0,72.32,73.96,0,53.79,55.7,0,122937,41088,5997,0,73294,243316,31266,31729,31387,30471,30228,29675,31115,27445,494,595,670,629,619,233,246,129,390,426,459,474,472,156,170,106,250458,125644,156777,43246,779,0,77567,86388,37768,10219,0,69512,6243,3693,0,0,2389,2871,634,0,0,1662,188,0,0,0,86,38,42,32,22,66,186,190,124,35512,17581,17581,8929,145610,83623,70906,41202,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2820  ,CUDDAPAH                                          ,117437,24138,5787,0,50268,0,85777,41151,1321,0,60350,0,96249,21120,4090,0,38318,0,34114,17259,0,0,18495,0,56146,53123,51832,46167,48036,44735,43671,38617,55494,53102,51875,50255,47141,43120,42971,39047,56984,51857,50853,49546,49513,44860,44366,39859,57568,54546,51289,50540,49425,45492,43167,39273,57658,53631,51992,48551,49129,47779,46419,38596,50309,22858,24678,11568,11116,5271,3447,1703,105.64,109.49,0,82.59,84.25,0,83.9,82.49,0,58.26,54.1,0,100331,33141,4870,0,55059,193401,27834,26056,25263,23530,24049,23918,23322,19429,309,349,351,347,280,117,138,118,240,267,269,255,243,145,120,104,202339,90623,132792,39666,1848,0,62123,60829,25254,6410,0,45634,11971,3878,159,0,2843,35,200,0,0,113,0,0,0,0,0,552,492,400,468,426,392,392,430,46764,19910,23767,9988,93401,44540,45451,22282,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2814  ,EAST GODAVARI                                     ,193655,47486,9583,0,127277,0,106368,74476,9256,0,56779,0,166478,45137,7364,0,105432,0,53824,49745,1348,0,21587,0,79347,80180,78264,73105,74555,74902,71483,67174,75445,76830,77794,75200,73260,72873,70002,66303,74931,74670,76104,76379,75821,72623,69609,65824,88624,87813,84444,82877,83925,79006,73167,66563,84487,86266,86638,81706,82061,79774,76802,68188,87398,45110,42834,22488,23926,11693,10855,5560,81.9,94.38,0,70.67,76.46,0,67.49,78.03,0,52.41,56.04,0,152142,62130,11432,0,92315,318019,40655,41747,42276,40208,40372,39855,38521,34385,433,548,438,478,455,268,236,191,336,352,352,364,309,185,150,164,350465,168764,208272,60744,1312,0,110746,99946,69218,20248,0,74605,548,182,101,0,0,0,0,0,0,0,590,368,0,0,634,548,424,298,268,238,222,166,156,5466,2598,2561,1298,183048,94893,89742,47832,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2817  ,GUNTUR                                            ,159743,47175,6172,0,80574,0,75880,31020,5277,0,58855,0,135098,42295,5004,0,65509,0,42921,16028,1264,0,27539,0,62551,60035,57999,52993,54373,55505,51291,45453,60785,59577,59234,56048,53992,54709,51884,47445,62250,59187,59149,57736,57649,54073,51542,48035,80944,75341,72105,69087,70287,65872,60946,54516,78252,75942,73486,68198,68397,67227,64468,55660,91739,44306,45134,21407,31252,15167,10253,4654,70.41,89.08,0,57.29,69.58,0,57.41,72.88,0,41.49,51.04,0,125238,48253,26115,0,68824,268430,37876,37166,35915,33419,33403,32692,31247,26712,469,476,431,405,432,275,242,237,298,338,337,301,297,200,187,125,299838,141098,185237,64521,13306,0,86808,53955,33168,44200,0,54769,13245,1730,192,0,265,0,0,152,0,0,0,0,0,0,59,550,168,134,122,120,150,86,56,40812,18463,20512,9251,124639,60827,61387,29886,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2805  ,HYDERABAD                                         ,72001,1761,6862,0,29414,0,239426,64184,39062,0,147305,0,0,0,0,0,0,0,248,410,122,0,0,0,92949,88584,86049,81597,81745,80705,77375,68577,93091,88693,87563,84430,81803,82272,79166,67947,84336,81174,79534,78291,75905,73528,71987,62187,89762,86779,83432,81877,80130,75421,71118,63271,88315,86590,84382,81152,79356,76089,73147,62888,41337,20434,20660,10273,11004,5426,4357,2107,110.73,119.18,0,90.29,93.86,0,82.38,89.21,0,65.02,68.36,0,168138,35235,25380,0,92623,321376,43485,43346,42764,41035,40518,38927,38258,33043,145,107,127,93,108,57,42,36,109,107,90,84,96,80,98,61,318021,154760,238933,61517,46912,0,142456,50834,6132,1434,0,15232,35064,3102,429,0,17929,6055,200,0,0,0,2285,36,0,0,1605,1442,764,608,530,428,1158,460,470,186046,83205,94079,45124,97639,54403,48561,27258,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2803  ,KARIMNAGAR                                        ,102831,32523,7290,0,85993,0,117586,71210,144,0,73398,0,91924,31331,6624,0,77914,0,63795,50812,144,0,37176,0,73688,66569,68999,67939,70135,69759,69953,69658,69438,62886,64666,67500,68999,67496,68091,65648,66377,59945,62107,63870,67440,64958,65237,63254,64623,59694,60417,62558,65713,66061,66515,63375,64982,58233,59334,59790,63027,62334,65473,62218,58268,38436,28445,19466,16158,7882,7823,3888,97.27,96.95,0,92.23,96.15,0,80.19,79.49,0,70.93,73.01,0,108724,50556,4574,0,79764,243618,30986,28215,28971,29208,30938,31132,32898,31270,228,226,247,235,221,117,107,102,157,190,183,172,161,106,115,63,252355,151545,134546,53327,1243,0,98581,82660,48173,6191,0,58484,5464,3647,0,0,2508,91,169,0,0,285,22,0,0,0,0,496,346,318,334,340,292,314,356,21132,10312,10859,5340,186658,118703,90172,59374,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2810  ,KHAMMAM                                           ,119108,45717,9221,0,66055,0,63050,25371,2321,0,37341,0,109387,43221,8299,0,57055,0,26878,15154,205,0,16362,0,58165,49116,48075,43745,45102,47619,46743,42714,55945,48973,47532,46414,43911,44313,43980,41963,55394,47031,47563,46565,47004,43092,42042,40095,55228,49327,47790,48158,48747,48258,43457,40433,53648,48421,48741,46765,48805,46946,45681,38940,44819,24700,21892,12299,86399,42172,40730,20482,100.32,104.54,0,80.84,87.79,0,80.76,85.67,0,60.98,65.73,0,90039,35703,7800,0,51944,185486,25740,23601,23530,23000,24009,23471,22817,19318,329,347,312,293,251,122,93,72,260,273,247,226,198,101,70,51,199787,100209,139047,55602,4310,0,69673,44790,18601,11255,0,33964,560,0,0,0,145,0,0,0,0,0,590,368,0,0,634,638,336,362,316,290,214,168,146,9479,4895,4583,2375,87690,49281,43008,24677,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2816  ,KRISHNA                                           ,100435,41630,6751,0,68678,0,110546,59194,10120,0,58550,0,80762,40764,4810,0,55966,0,65293,38232,5009,0,28791,0,63711,64572,64561,61349,63944,61550,61079,51859,62138,62776,64457,63927,62842,59817,59345,54353,61866,61129,62815,63571,64483,57918,57710,52615,68336,66484,65193,65859,68145,62037,58644,53097,66115,65195,64802,62648,64906,61672,59657,51683,80343,42080,39639,21164,16868,8386,6572,3177,79.61,86.27,0,66.88,71.1,0,65.83,71.31,0,50.2,52.32,0,107473,55382,18724,0,63564,245143,32083,31864,31973,30860,32224,30860,29745,25534,300,344,327,270,293,141,129,92,200,253,240,228,197,126,116,79,266992,129931,132933,67074,3688,0,70395,79205,44901,33113,0,58496,5705,770,0,0,267,57,0,0,0,13,36,0,0,0,0,154,94,48,76,56,80,52,72,19850,9500,9912,4943,131339,70048,64691,35360,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2821  ,KURNOOL                                           ,188648,77519,8116,0,90509,0,94756,67583,981,0,51283,0,163152,73893,5289,0,74850,0,48150,40434,258,0,20646,0,88372,83763,78435,71297,71090,65681,59851,49036,85424,82187,78728,73486,69952,62828,60223,51949,83442,79932,78331,74127,71699,61576,59287,52163,84116,82059,78070,75232,73815,63822,58583,50915,84895,84311,81467,76291,74963,65190,62089,51654,86732,38581,42247,18272,11475,5582,4630,2157,116.63,120.52,0,81.61,84.14,0,94.9,96,0,59.73,60.26,0,139534,68565,5218,0,66542,279859,41038,40922,39733,37256,36178,31551,29468,23713,257,331,337,284,259,144,159,116,208,231,229,204,193,201,180,141,329173,127477,196383,97411,178,0,84249,68689,42481,9080,0,52731,15272,3118,258,0,3851,3729,2375,0,0,1055,0,0,0,0,0,380,320,246,226,242,82,74,8,64613,25978,32418,13340,206023,88949,99610,41113,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2807  ,MAHBUBNAGAR                                       ,197220,90236,6792,0,97933,0,84262,52673,58,0,42440,0,186025,90013,6273,0,88744,0,55803,44197,58,0,26009,0,101461,76173,67896,62393,61603,60344,58307,55614,103610,77246,71711,65554,62986,57608,58287,54119,108319,80419,74217,68974,64213,58390,55337,53331,104951,83821,75358,68818,66286,59251,55269,50103,104381,83237,78186,70595,67157,63794,58689,52051,77333,32979,37851,15995,52200,24885,16348,7244,119.75,122.89,0,79.15,80.27,0,94.13,95.94,0,60.16,61.24,0,140290,69570,3867,0,67684,281411,50885,41011,38215,34570,32244,31175,28355,24956,497,384,392,349,315,176,160,130,357,326,322,283,212,129,121,101,325311,135206,217976,111784,1382,0,98803,54946,29749,5221,0,37348,12195,2857,189,0,4185,509,496,0,0,179,213,0,58,0,0,3362,746,532,482,408,738,840,816,30148,13993,15269,7366,224665,99445,110117,48366,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2804  ,MEDAK                                             ,148850,54850,8832,0,81136,0,60889,37061,2722,0,34926,0,138377,52867,7708,0,72336,0,32702,25179,2722,0,17170,0,76629,55630,53417,50219,51252,50814,50456,46753,75224,54279,52803,50641,49952,49584,48664,46970,76877,54671,52788,51427,51497,47374,46988,45121,74736,60005,55813,53460,53657,48966,46716,43967,70332,59979,58583,54408,53453,51089,50155,44862,56975,29365,27840,14709,31064,14800,8916,3770,114.28,120.58,0,86.97,89.61,0,90.01,95.31,0,66.06,69.4,0,106026,46539,6143,0,57859,216567,33962,29145,28523,26486,25973,25505,25090,21883,308,265,267,204,177,85,96,65,204,180,187,180,152,94,109,64,235418,114232,153768,62596,3119,0,73097,51435,24491,9788,0,39246,10777,8800,222,0,4345,532,536,0,0,32,77,0,0,0,0,5444,510,366,200,168,74,94,56,37106,16003,18283,8329,168414,86366,82474,43403,,,,,,,,,,,,,,,,
