,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position of  Teachers by Educational Qualification        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender and Caste Distribution of Teachers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers Received In- service Training,,,,,,,,,,,,,,Professionally Trained Teachers,,Non-Teaching Assignment,
,,,,,Teachers in Government Schools,,,,,,,,Teachers in Private Schools,,,,,,,,Teachers in Un-Recognised Schools,,,,,,,,Below Secondary,,,,,,,,Secondary,,,,,,,,Higher Secondary,,,,,,,,Graduate,,,,,,,,Post-Graduate,,,,,,,,M Phil and Ph.D.,,,,,,,,Post-Doctoral,,,,,,,,No Response,,,,,,,,Regular Teachers Male,,,,,,,Regular Teachers Female,,,,,,,Regular Teachers  No Response in Gender,,,,,,,Para-Teachers Male,,,,,,,Para-Teachers Female,,,,,,,Para-Teachers No Response in Gender,,,,,,,SC Teachers Male,,,,,,,SC Teachers Female,,,,,,,ST Teachers Male,,,,,,,ST Teachers Female,,,,,,, Male,,,,,,,Female,,,,,,,,,,
State Code,State Name,District Code,District Name,Academic Year,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,para teacher,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,para teacher,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Para-Teachers,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Para-Teachers,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Para-Teachers,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Para-Teachers,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Para-Teachers,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Para-Teachers,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Regular Tch,Contract Tch,No. of days involved ,No. of Teachers involved
statecd,statename,distcd,distname,ac_year,tch_govt1,tch_govt2,tch_govt3,tch_govt4,tch_govt5,tch_govt6,tch_govt7,tch_govt9,tch_pvt1,tch_pvt2,tch_pvt3,tch_pvt4,tch_pvt5,tch_pvt6,tch_pvt7,tch_pvt9,tch_un1,tch_un2,tch_un3,tch_un4,tch_un5,tch_un6,tch_un7,tch_un9,tch_bs1,tch_bs2,tch_bs3,tch_bs4,tch_bs5,tch_bs6,tch_bs7,tch_bs_p,tch_s1,tch_s2,tch_s3,tch_s4,tch_s5,tch_s6,tch_s7,tch_s_p,tch_hs1,tch_hs2,tch_hs3,tch_hs4,tch_hs5,tch_hs6,tch_hs7,tch_hs_p,tch_grad1,tch_grad2,tch_grad3,tch_grad4,tch_grad5,tch_grad6,tch_grad7,tch_grad_p,tch_pgrad1,tch_pgrad2,tch_pgrad3,tch_pgrad4,tch_pgrad5,tch_pgrad6,tch_pgrad7,tch_pgrad_p,tch_mph1,tch_mph2,tch_mph3,tch_mph4,tch_mph5,tch_mph6,tch_mph7,tch_mph_p,tch_pd1,tch_pd2,tch_pd3,tch_pd4,tch_pd5,tch_pd6,tch_pd7,tch_pd_p,tch_eduqual_nr1,tch_eduqual_nr2,tch_eduqual_nr3,tch_eduqual_nr4,tch_eduqual_nr5,tch_eduqual_nr6,tch_eduqual_nr7,tch_eduqual_nr_p,tch_m1,tch_m2,tch_m3,tch_m4,tch_m5,tch_m6,tch_m7,tch_f1,tch_f2,tch_f3,tch_f4,tch_f5,tch_f6,tch_f7,tch_nr1,tch_nr2,tch_nr3,tch_nr4,tch_nr5,tch_nr6,tch_nr7,tch_m_p1,tch_m_p2,tch_m_p3,tch_m_p4,tch_m_p5,tch_m_p6,tch_m_p7,tch_f_p1,tch_f_p2,tch_f_p3,tch_f_p4,tch_f_p5,tch_f_p6,tch_f_p7,tch_nr_p1,tch_nr_p2,tch_nr_p3,tch_nr_p4,tch_nr_p5,tch_nr_p6,tch_nr_p7,tch_sc_m1,tch_sc_m2,tch_sc_m3,tch_sc_m4,tch_sc_m5,tch_sc_m6,tch_sc_m7,tch_sc_f1,tch_sc_f2,tch_sc_f3,tch_sc_f4,tch_sc_f5,tch_sc_f6,tch_sc_f7,tch_st_m1,tch_st_m2,tch_st_m3,tch_st_m4,tch_st_m5,tch_st_m6,tch_st_m7,tch_st_f1,tch_st_f2,tch_st_f3,tch_st_f4,tch_st_f5,tch_st_f6,tch_st_f7,trn_tch_m1,trn_tch_m2,trn_tch_m3,trn_tch_m4,trn_tch_m5,trn_tch_m6,trn_tch_m7,trn_tch_f1,trn_tch_f2,trn_tch_f3,trn_tch_f4,trn_tch_f5,trn_tch_f6,trn_tch_f7,prof_trn_tch_r,prof_trn_tch_p,days_nontch,tch_nontch
35,ANDAMAN & NICOBAR ISLANDS                         ,3501  ,ANDAMANS                                          ,2012-13,329,429,1097,0,127,432,0,0,308,117,317,0,0,83,0,0,0,0,0,0,0,0,0,0,15,9,13,0,0,4,0,11,9,10,25,0,2,20,0,5,241,181,244,0,29,160,0,94,138,208,475,0,48,194,0,80,64,114,540,0,43,112,0,57,2,5,72,0,3,8,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,116,166,535,0,62,161,0,353,361,835,0,63,337,0,0,0,0,0,0,0,0,19,6,8,0,0,0,0,149,13,36,0,2,17,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,0,4,3,16,0,0,8,0,11,5,18,0,1,11,0,69,97,64,0,14,66,0,134,176,135,0,22,103,0,2968,228,12,519
35,ANDAMAN & NICOBAR ISLANDS                         ,3503  ,MIDDLE AND NORTH ANDAMANS                         ,2012-13,305,285,194,95,268,175,0,0,103,31,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,7,4,3,2,1,2,0,0,255,110,33,22,6,63,0,37,55,95,56,31,69,66,0,71,22,35,80,29,144,40,0,94,0,3,3,5,17,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,123,81,56,142,74,0,163,124,94,33,95,99,0,0,0,0,0,0,0,0,19,32,3,1,5,2,0,49,37,16,5,26,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,6,2,7,0,0,2,2,3,0,4,2,0,126,79,32,8,45,37,0,84,85,40,3,28,60,0,1249,203,8,362
35,ANDAMAN & NICOBAR ISLANDS                         ,3502  ,NICOBARS                                          ,2012-13,110,95,56,0,135,114,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,26,7,8,0,3,10,0,0,72,29,7,0,2,34,0,8,7,36,13,0,34,41,0,26,3,7,14,0,60,6,0,45,0,1,4,0,7,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,35,28,0,65,42,0,67,45,19,0,41,53,0,0,0,0,0,0,0,0,1,10,3,0,12,3,0,8,5,6,0,17,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,29,18,0,27,27,0,53,32,16,0,28,40,0,36,25,18,0,22,31,0,58,29,23,0,17,46,0,430,78,20,28
28,ANDHRA PRADESH                                    ,2801  ,ADILABAD                                          ,2012-13,4749,1788,38,0,22,939,4309,0,2004,2298,0,0,0,327,2222,0,214,82,0,0,0,5,5,0,0,0,0,0,0,0,0,0,798,152,0,0,0,52,51,69,1641,672,0,0,0,80,269,141,3225,2324,0,0,6,456,3006,525,1015,866,12,0,13,361,2816,328,25,26,0,0,3,11,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4070,2300,10,0,16,624,4457,2634,1740,2,0,6,336,1741,0,0,0,0,0,0,0,131,70,6,0,0,171,42,132,58,20,0,0,140,296,0,0,0,0,0,0,0,559,387,5,0,2,58,621,401,252,4,0,0,37,294,1447,394,1,0,1,409,260,288,126,1,0,0,187,146,1964,554,0,0,0,46,641,830,267,0,0,0,8,248,16419,845,13,263
28,ANDHRA PRADESH                                    ,2822  ,ANANTAPUR                                         ,2012-13,5797,2879,209,8,6733,2,52,0,2063,2184,106,0,2307,0,41,0,52,97,0,0,8,0,0,0,0,0,0,0,0,0,0,0,132,80,1,0,69,0,6,12,932,385,4,0,229,0,19,67,4315,2980,87,5,3910,2,38,426,2267,1584,193,3,4413,0,23,189,31,37,7,0,90,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4179,3022,150,7,5580,1,37,3498,2044,142,1,3131,1,33,0,0,0,0,0,0,16,150,58,4,0,15,0,0,85,36,19,0,322,0,7,0,0,0,0,0,0,0,528,291,15,0,591,0,1,457,236,12,0,444,1,4,281,143,5,0,210,0,3,136,69,3,0,139,0,0,2521,1161,2,0,1226,0,10,1652,726,0,0,591,0,3,21487,676,14,1185
28,ANDHRA PRADESH                                    ,2823  ,CHITTOOR                                          ,2012-13,7466,2247,249,0,7305,0,2,0,2804,1909,225,0,3357,23,11,0,178,50,13,0,153,0,0,0,0,0,0,0,0,0,0,0,353,114,8,0,176,0,0,10,1790,564,27,0,389,0,2,28,5837,2499,128,0,5210,5,11,113,2333,975,288,0,4655,18,0,61,80,44,23,0,247,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5171,2050,216,0,6539,12,11,5222,2146,258,0,4138,11,2,0,0,0,0,0,0,0,22,5,1,0,16,0,0,33,5,12,0,122,0,0,0,0,0,0,0,0,0,956,293,18,0,812,0,0,566,212,16,0,441,0,0,229,76,8,0,179,0,0,171,62,5,0,129,0,0,3894,1080,13,0,2309,0,0,2856,823,17,0,1383,0,0,25300,197,10,227
28,ANDHRA PRADESH                                    ,2820  ,CUDDAPAH                                          ,2012-13,5922,1434,185,0,4233,0,55,0,2010,1336,12,0,2320,9,102,0,91,158,23,0,9,0,0,0,0,0,0,0,0,0,0,0,158,39,3,0,94,0,2,42,1065,275,3,0,299,0,9,93,4722,1801,37,0,3416,0,99,296,1859,666,122,0,2483,8,44,93,28,22,8,0,101,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4526,1665,94,0,4320,9,96,3306,1138,79,0,2073,0,61,0,0,0,0,0,0,0,77,61,17,0,19,0,0,114,64,30,0,150,0,0,0,0,0,0,0,0,0,620,173,6,0,411,0,4,467,175,15,0,284,0,6,266,45,3,0,121,0,0,101,22,2,0,80,0,2,3016,657,0,0,698,0,0,1831,458,0,0,336,0,0,17210,443,17,387
28,ANDHRA PRADESH                                    ,2814  ,EAST GODAVARI                                     ,2012-13,7155,1457,184,0,0,748,7427,0,3614,4347,55,0,12,469,3810,0,416,454,0,0,0,118,106,0,0,0,0,0,0,0,0,0,420,194,7,0,1,41,198,27,1456,642,10,0,2,134,320,44,6918,4119,38,0,2,626,5972,209,2272,1163,155,0,5,391,4644,90,38,42,8,0,2,19,158,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5390,2939,124,0,7,569,6771,5714,3221,94,0,5,642,4521,0,0,0,0,0,0,0,37,46,1,0,0,70,2,44,52,20,0,0,54,49,0,0,0,0,0,0,0,956,577,31,0,1,73,1108,1185,704,21,0,3,102,819,626,94,2,0,0,295,179,391,73,1,0,0,173,156,3691,803,10,0,2,141,1837,2659,517,2,0,2,71,1160,28256,324,13,383
28,ANDHRA PRADESH                                    ,2817  ,GUNTUR                                            ,2012-13,6960,1931,351,0,5311,0,0,0,2210,1283,190,0,3007,53,113,0,853,1153,2046,0,281,50,0,0,0,0,0,0,0,0,0,0,292,139,54,0,288,8,3,342,954,312,59,0,351,8,0,398,5682,2237,468,0,4277,32,76,2135,2231,893,377,0,3160,5,34,744,29,24,34,0,106,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4211,1640,479,0,4576,28,64,4977,1965,513,0,3606,25,49,0,0,0,0,0,0,0,250,272,658,0,148,24,0,585,490,937,0,269,26,0,0,0,0,0,0,0,0,817,365,240,0,774,9,15,1177,501,300,0,748,9,5,263,90,30,0,139,3,0,179,59,19,0,115,0,0,3194,765,5,0,588,0,0,3006,788,1,0,446,0,0,21264,2693,12,461
28,ANDHRA PRADESH                                    ,2805  ,HYDERABAD                                         ,2012-13,2466,70,102,0,2751,0,46,0,6984,2659,1371,0,8208,37,212,0,547,169,79,0,97,0,0,0,6,0,0,0,2,0,0,0,403,139,20,0,213,0,4,151,1166,345,78,0,601,5,23,134,5910,1860,992,0,6175,15,136,102,2006,471,425,0,3817,17,95,38,147,50,36,0,209,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,535,215,0,3043,11,68,8282,2323,1336,0,7974,26,190,7,7,0,0,0,0,0,133,18,0,0,7,0,0,225,15,1,0,32,0,0,0,0,0,0,0,0,0,61,14,3,0,140,0,2,449,84,10,0,386,0,12,47,8,3,0,41,0,1,95,10,2,0,63,0,0,117,3,0,0,22,7,2,505,7,0,0,66,0,7,24160,194,19,147
28,ANDHRA PRADESH                                    ,2803  ,KARIMNAGAR                                        ,2012-13,4629,1992,342,0,7173,0,9,0,3910,3212,0,0,4431,0,34,0,134,68,0,0,37,0,0,0,0,0,0,0,0,0,0,0,300,219,0,0,201,0,0,99,1150,600,9,0,402,0,2,76,5142,3173,17,0,5703,0,26,360,1752,1151,151,0,4822,0,14,350,47,64,9,0,124,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4075,3046,128,0,7709,0,26,4316,2161,58,0,3543,0,17,0,0,0,0,0,0,0,93,33,63,0,53,0,0,189,32,93,0,336,0,0,0,0,0,0,0,0,0,519,405,44,0,897,0,4,655,344,32,0,490,0,2,196,82,17,0,178,0,0,125,35,5,0,84,0,0,1475,644,0,0,1064,0,5,987,376,0,0,426,0,1,23179,743,12,307
28,ANDHRA PRADESH                                    ,2810  ,KHAMMAM                                           ,2012-13,4922,2067,380,0,4997,0,0,0,2174,1195,117,0,2284,9,31,0,156,198,210,0,27,6,0,0,0,0,0,0,0,0,0,0,340,88,9,0,180,0,0,44,778,252,16,0,194,0,0,72,4347,2218,281,0,3744,6,27,440,1526,777,331,0,2879,3,4,140,15,10,4,0,39,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3661,1875,299,0,4339,6,14,3345,1470,342,0,2697,3,17,0,0,0,0,0,0,0,138,46,24,0,25,4,0,108,69,42,0,247,2,0,0,0,0,0,0,0,0,535,266,65,0,598,1,1,615,261,91,0,426,0,0,1490,679,79,0,855,0,0,701,294,34,0,492,0,0,1186,534,1,0,319,0,0,751,260,0,0,202,0,0,17979,659,11,300
28,ANDHRA PRADESH                                    ,2816  ,KRISHNA                                           ,2012-13,4672,2514,323,0,5459,0,0,0,3019,2629,484,0,3174,68,190,0,219,609,701,0,165,11,13,0,0,0,0,0,0,0,0,0,271,248,59,0,214,6,15,14,1024,649,93,0,316,7,18,25,4834,3492,645,0,4765,53,144,148,1696,1280,554,0,3388,13,25,54,28,38,20,0,107,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2971,2331,506,0,4505,27,78,4882,3376,865,0,4285,52,125,0,0,0,0,0,0,0,15,13,67,0,0,0,0,42,32,70,0,8,0,0,0,0,0,0,0,0,0,659,476,101,0,760,5,20,992,650,165,0,725,8,18,151,88,8,0,122,0,1,100,78,9,0,75,7,1,2034,1125,7,0,1083,0,0,2522,1155,22,0,910,6,0,23541,243,14,634
28,ANDHRA PRADESH                                    ,2821  ,KURNOOL                                           ,2012-13,5105,1902,371,0,5562,0,6,0,2864,3135,78,0,2960,0,290,0,39,24,14,0,0,0,0,0,0,0,0,0,0,0,0,0,231,177,10,0,141,0,4,25,1063,675,13,0,342,0,13,40,4602,3140,105,0,4036,0,160,239,2032,1012,236,0,3534,0,112,214,42,29,18,0,99,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3917,2661,209,0,4961,0,201,4053,2372,173,0,3191,0,89,0,0,0,0,0,0,0,19,13,14,0,32,0,0,19,15,67,0,338,0,6,0,0,0,0,0,0,0,673,422,38,0,654,0,33,693,424,60,0,654,0,9,197,85,9,0,146,0,3,140,74,1,0,87,0,2,2326,793,0,0,959,0,0,1588,578,1,0,646,0,0,21198,506,11,443
28,ANDHRA PRADESH                                    ,2807  ,MAHBUBNAGAR                                       ,2012-13,5585,2512,221,0,7058,0,9,0,3054,2417,12,0,2853,0,109,0,165,100,0,0,8,0,0,0,4,2,0,0,0,0,1,0,377,240,0,0,270,0,14,87,1252,602,1,0,383,0,27,192,4973,2934,42,0,4478,0,43,572,1695,1087,148,0,4173,0,26,275,50,29,3,0,107,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4285,2790,124,0,6155,0,62,4065,2103,70,0,3256,0,50,1,2,0,0,0,0,0,257,73,12,0,30,0,5,196,61,27,0,478,0,1,0,0,0,0,0,0,0,699,386,21,0,801,0,5,442,253,9,0,389,0,1,357,194,18,0,283,0,4,168,71,3,0,120,0,1,1827,696,0,0,749,0,0,1219,514,0,0,376,0,0,22373,1065,11,261
