,TEACHER RELATED INDICATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,No response,,,No response,,,SC Teachers Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ST Teachers Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ST Teachers Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Position of Para Teachers by Educational Qualification         ( Secondary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Teachers in Government Schools,,,,,,Teachers in Private Schools,,,,,,Position of Teachers by Educational Qualification(Below Secondary) (Other than Para Teacher),,,,,Position of Para Teachers by Educational Qualification (Below Secondary),Position of Teachers by Educational Qualification(Secondary) (Other than Para Teacher),,,,,,Position of Teachers by Educational Qualification (Higher Secondary) (Other than Para Teacher),,,,,Position of Para Teachers by Educational Qualification (Higher  Secondary),Position of Teachers by Educational Qualification(Graduate) (Other than Para Teacher),,,,,Position of Para Teachers by Educational Qualification (Graduate),Position of Teachers by Educational Qualification(Post Graduate) (Other than Para Teacher),,,,,Position of Para Teachers by Educational Qualification (Post Graduate),Position of Teachers by Educational Qualification(M. Phil.) (Other than Para Teacher),,,,,Position of Para Teachers by Educational Qualification         (M. Phil.),Position of Teachers by Educational Qualification(Others) (Other than Para Teacher),,,,,Position of Para Teachers by Educational Qualification (Others),Position of Teachers by Educational Qualification(No response) (Other than Para Teacher),,,,,Position of Para Teachers by Educational Qualification       (No Response),Gender and Caste Distribution of Teachers (Regular Teachers Male),,,,,Gender and Caste Distribution of Teachers (Regular Teachers Female),,,,,Gender and Caste Distribution of Teachers (Regular Teachers Noresponse),,,,,Gender and Caste Distribution of Teachers (Para Teachers Male),,,,,Gender and Caste Distribution of Teachers (Para Teachers Female),,,,,Gender and Caste Distribution of Teachers (Para Teachers No Response),,,,,Gender and Caste Distribution of Teachers (SC Teachers Male),,,,,Gender and Caste Distribution of Teachers (SC Teachers Female),,,,,Gender and Caste Distribution of Teachers (ST Teachers Male),,,,,Gender and Caste Distribution of Teachers (ST Teachers Female),,,,,Number of Male Teachers Received In-Service Training,,,,,Number of Female Teachers Received In-Service Training,,,,,Number of Teachers in Unrecognised & Madarsa Schools,,,,,,Professionally Trained Teachers,,Non-Teaching Assignment ,,,,,,,,,,,,,,,,,,,
State Code,State Name,District Code,District Name,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Tch S P,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,No Response,Regular Tch,Contract Tch,No. of days involved ,No. of Teachers involved,,,,,,,,,,,,,,,,,,
Statecd,Statename,Distcd,Distname,Tch Govt1,Tch Govt2,Tch Govt3,Tch Govt4,Tch Govt5,Tch Govt9,Tch Pvt1,Tch Pvt2,Tch Pvt3,Tch Pvt4,Tch Pvt5,Tch Pvt9,Tch Bs1,Tch Bs2,Tch Bs3,Tch Bs4,Tch Bs5,Tch Bs P,Tch S1,Tch S2,Tch S3,Tch S4,Tch S5,14,Tch Hs1,Tch Hs2,Tch Hs3,Tch Hs4,Tch Hs5,Tch Hs P,Tch Grad1,Tch Grad2,Tch Grad3,Tch Grad4,Tch Grad5,Tch Grad P,Tch Pgrad1,Tch Pgrad2,Tch Pgrad3,Tch Pgrad4,Tch Pgrad5,Tch Pgrad P,Tch Mph1,Tch Mph2,Tch Mph3,Tch Mph4,Tch Mph5,Tch Mph P,Tch Oth1,Tch Oth2,Tch Oth3,Tch Oth4,Tch Oth5,Tch Oth P,Tch Eduqual Nr1,Tch Eduqual Nr2,Tch Eduqual Nr3,Tch Eduqual Nr4,Tch Eduqual Nr5,Tch Eduqual Nr,Tch M1,Tch M2,Tch M3,Tch M4,Tch M5,Tch F1,Tch F2,Tch F3,Tch F4,Tch F5,Tch Nr1,Tch Nr2,Tch Nr3,Tch Nr4,Tch Nr5,Tch M P1,Tch M P2,Tch M P3,Tch M P4,Tch M P5,Tch F P1,Tch F P2,Tch F P3,Tch F P4,Tch F P5,Tch Nr P1,Tch Nr P2,Tch Nr P3,Tch Nr P4,Tch Nr P5,Tch Sc M1,Tch Sc M2,Tch Sc M3,Tch Sc M4,Tch Sc M5,Tch Sc F1,Tch Sc F2,Tch Sc F3,Tch Sc F4,Tch Sc F5,Tch St M1,Tch St M2,Tch St M3,Tch St M4,Tch St M5,Tch St F1,Tch St F2,Tch St F3,Tch St F4,Tch St F5,Trn Tch M1,Trn Tch M2,Trn Tch M3,Trn Tch M4,Trn Tch M5,Trn Tch F1,Trn Tch F2,Trn Tch F3,Trn Tch F4,Trn Tch F5,Tch Un1,Tch Un2,Tch Un3,Tch Un4,Tch Un5,Tch Un9,Prof Trn Tch R,Prof Trn Tch P,Days Nontch,Tch Nontch,,,,,,,,,,,,,,,,,,
35,A & N Islands                                     ,3501  ,ANDAMANS                                          ,333,414,0,0,1741,0,266,120,0,0,343,0,6,4,0,0,11,11,9,14,0,0,54,3,227,181,0,0,384,95,102,188,0,0,715,173,40,94,0,0,676,138,2,4,0,0,51,5,0,2,0,0,15,2,0,0,0,0,0,0,118,148,0,0,748,268,339,0,0,1158,0,0,0,0,0,21,14,0,0,52,192,33,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,26,10,4,0,0,27,52,46,0,0,104,89,104,0,0,196,0,0,0,0,0,0,2754,411,10,522,,,,,,,,,,,,,,,,,,
35,A & N Islands                                     ,3503  ,MIDDLE AND NORTH ANDAMANS                         ,342,277,0,0,906,0,99,26,0,0,17,0,3,0,0,0,2,2,13,7,0,0,16,0,271,119,0,0,165,37,63,91,0,0,284,80,35,27,0,0,309,93,3,5,0,0,27,7,0,0,0,0,0,0,0,0,0,0,5,0,204,134,0,0,438,184,115,0,0,370,0,0,0,0,0,17,19,0,0,32,36,35,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,2,0,0,0,14,118,64,0,0,135,91,64,0,0,126,0,0,0,0,0,0,1430,211,19,333,,,,,,,,,,,,,,,,,,
35,A & N Islands                                     ,3502  ,NICOBARS                                          ,110,92,0,0,280,0,8,0,0,0,0,0,1,0,0,0,1,0,27,7,0,0,12,634,75,39,0,0,53,7,4,32,0,0,75,19,0,6,0,0,93,30,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,40,39,0,0,122,67,45,0,0,120,0,0,0,0,0,1,1,0,0,11,10,7,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,26,0,0,67,53,31,0,0,87,20,19,0,0,43,40,28,0,0,55,0,0,0,0,0,0,426,55,13,54,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2801  ,ADILABAD                                          ,7722,2754,557,0,5017,0,2104,2062,255,0,2333,0,0,0,0,0,0,0,894,142,35,0,56,81,1795,713,58,0,283,1389,3278,2206,209,0,3177,2618,1010,805,186,0,2868,892,12,15,6,0,48,9,12,15,1,0,16,4,0,0,0,0,0,0,4288,2296,311,0,4698,2713,1600,184,0,1750,0,0,0,0,0,1963,677,155,0,376,1222,416,186,0,551,0,0,0,0,0,912,518,79,0,671,606,315,51,0,308,2490,584,131,0,516,627,174,61,0,290,2829,852,31,0,852,1169,407,11,0,317,360,173,24,0,25,0,16199,3550,12,2022,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2822  ,ANANTAPUR                                         ,7496,4190,322,0,6772,0,2156,2236,114,0,2372,0,0,0,0,0,0,0,135,76,2,0,85,135,1028,433,5,0,276,403,4453,3151,108,0,3877,2608,2271,1680,213,0,4204,716,29,29,11,0,99,9,4,13,2,0,13,3,0,0,0,0,0,0,4360,3204,169,0,5513,3560,2178,172,0,3041,0,0,0,0,0,1068,717,36,0,130,797,488,59,0,525,0,0,0,0,0,784,468,19,0,583,604,334,21,0,454,360,170,5,0,203,173,92,4,0,137,2853,1299,0,0,1138,1863,833,1,0,603,133,161,0,0,65,0,21788,3684,12,3593,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2823  ,CHITTOOR                                          ,9209,2773,285,0,7215,0,2811,2089,239,0,3566,0,0,0,0,0,0,0,390,134,6,0,187,95,1946,641,29,0,403,411,5958,2698,139,0,5340,1341,2269,979,305,0,4551,298,74,29,21,0,201,7,12,12,1,0,45,4,0,0,0,0,0,0,5371,2248,230,0,6573,5278,2245,271,0,4154,0,0,0,0,0,653,153,21,0,42,884,274,15,0,154,0,0,0,0,0,1255,346,23,0,818,784,256,17,0,427,267,84,7,0,173,202,73,4,0,116,4188,1188,0,0,2233,3036,857,0,0,1462,166,58,13,0,142,0,25762,1959,9,3773,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2820  ,CUDDAPAH                                          ,6676,1664,343,0,4425,0,2248,1401,64,0,2805,0,0,0,0,0,0,0,181,50,9,0,123,202,1129,288,8,0,340,244,5076,1924,119,0,3888,981,1739,628,202,0,2472,269,24,18,15,0,73,3,8,9,2,0,26,13,0,0,0,0,0,0,4676,1765,156,0,4711,3481,1152,199,0,2211,0,0,0,0,0,426,168,18,0,72,448,167,57,0,249,0,0,0,0,0,723,198,12,0,428,581,176,37,0,321,293,46,4,0,121,110,28,1,0,78,3032,673,0,0,885,1812,443,1,0,502,107,187,23,0,13,0,18120,1433,15,2361,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2814  ,EAST GODAVARI                                     ,9146,2439,603,0,7323,0,3615,4140,376,0,3807,0,0,0,0,0,0,0,463,207,22,0,259,503,1532,688,62,0,347,422,7307,4240,370,0,5859,1862,2425,1252,433,0,4446,528,21,16,24,0,115,6,18,22,6,0,57,16,0,0,0,0,0,0,5742,3167,378,0,6688,6024,3258,539,0,4395,0,0,0,0,0,715,397,109,0,87,1045,428,143,0,112,0,0,0,0,0,1161,683,92,0,1117,1529,802,130,0,820,841,280,73,0,226,563,123,69,0,207,4219,1129,80,0,2242,3143,716,34,0,1386,765,671,190,0,152,0,28250,2685,12,6672,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2817  ,GUNTUR                                            ,7536,2398,350,0,5670,0,2219,1219,211,0,3445,0,0,0,0,0,0,0,291,121,37,0,338,227,986,296,35,0,410,701,5765,2054,306,0,4396,3552,2263,826,296,0,3178,1147,28,19,15,0,68,22,9,10,5,0,48,32,0,0,0,0,0,0,4353,1502,273,0,4705,4989,1824,421,0,3733,0,0,0,0,0,507,584,888,0,416,919,898,1163,0,582,0,0,0,0,0,892,430,230,0,885,1278,599,315,0,886,292,108,24,0,141,189,70,19,0,117,3331,789,17,0,995,3054,846,35,0,717,1013,1191,2184,0,321,0,21000,4592,12,3664,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2805  ,HYDERABAD                                         ,2595,72,339,0,2789,0,6892,2673,1547,0,8243,0,0,0,0,0,0,0,424,150,36,0,240,215,1138,330,82,0,592,254,5748,1819,1176,0,6037,435,1940,449,609,0,3827,130,45,15,30,0,174,4,177,29,14,0,37,8,0,0,0,0,0,0,1384,541,270,0,3081,8088,2251,1677,0,7826,0,0,0,0,0,162,35,6,0,45,510,96,33,0,171,0,0,0,0,0,59,14,6,0,136,465,69,15,0,363,47,7,1,0,37,102,11,5,0,62,211,1,0,0,110,937,29,5,0,320,657,178,100,0,91,0,24012,680,25,1038,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2803  ,KARIMNAGAR                                        ,5502,2247,363,0,7225,0,4212,3365,2,0,4584,0,0,0,0,0,0,0,371,234,1,0,205,340,1382,699,8,0,453,257,5398,3313,26,0,5778,899,1781,1196,160,0,4644,432,27,31,4,0,99,6,29,30,6,0,33,12,0,0,0,0,0,0,4395,3249,141,0,7760,4593,2254,64,0,3452,0,0,0,0,0,284,74,74,0,176,557,118,86,0,452,0,0,0,0,0,612,453,49,0,918,769,387,34,0,512,224,107,21,0,165,169,36,3,0,80,2125,944,4,0,1789,1447,558,16,0,873,115,83,0,0,31,0,23783,1402,13,2407,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2810  ,KHAMMAM                                           ,6295,2808,488,0,5315,0,2222,1189,122,0,2340,0,0,0,0,0,0,0,430,102,7,0,195,154,889,297,21,0,264,529,4244,2190,157,0,3661,2387,1378,710,272,0,2788,430,13,11,5,0,39,7,4,2,1,0,14,5,0,0,0,0,0,0,3742,1872,212,0,4338,3216,1440,251,0,2623,0,0,0,0,0,835,463,174,0,309,891,416,195,0,415,0,0,0,0,0,631,338,73,0,634,742,334,100,0,436,2038,932,109,0,955,1046,443,35,0,533,1964,827,11,0,661,1250,464,22,0,297,167,194,222,0,30,0,17443,3135,12,1786,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2816  ,KRISHNA                                           ,5180,2704,365,0,5513,0,3141,2798,449,0,3305,0,0,0,0,0,0,0,272,241,30,0,233,166,1047,649,73,0,347,261,4901,3392,507,0,4761,1301,1623,1273,427,0,3306,446,15,26,7,0,76,14,18,14,14,0,50,11,1,0,0,0,0,0,3042,2340,380,0,4501,4835,3255,678,0,4272,0,0,0,0,0,243,207,217,0,81,576,399,317,0,147,0,0,0,0,0,760,545,102,0,794,1153,709,187,0,768,162,89,10,0,121,119,83,10,0,72,1957,1044,0,0,1022,2419,1046,0,0,825,375,699,778,0,183,0,22686,2045,13,2914,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2821  ,KURNOOL                                           ,6739,2995,396,0,5397,0,2852,3202,88,0,2998,0,0,0,0,0,0,0,200,155,7,0,156,320,1039,590,13,0,341,577,4516,2827,117,0,3744,2911,1912,949,243,0,3349,756,34,17,17,0,72,7,8,13,4,0,19,8,0,0,0,0,0,0,3926,2488,227,0,4671,3783,2063,174,0,3010,0,0,0,0,0,961,981,17,0,280,962,689,91,0,444,0,0,0,0,0,909,680,48,0,643,870,508,63,0,635,248,91,8,0,136,140,81,1,0,78,2743,983,4,0,1340,1841,665,14,0,842,41,24,25,0,10,0,19662,4142,14,2972,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2807  ,MAHBUBNAGAR                                       ,8132,4003,314,0,7062,0,3382,2698,10,0,3198,0,0,0,0,0,0,0,414,249,0,0,295,298,1450,702,4,0,459,827,5303,3222,35,0,4679,3304,1692,1128,179,0,3988,664,30,22,6,0,72,7,22,13,0,0,21,8,0,0,0,0,0,0,4628,3037,127,0,6271,4283,2299,97,0,3243,0,0,0,0,0,1621,893,24,0,163,1191,571,76,0,591,0,0,0,0,0,1076,616,20,0,822,651,357,19,0,422,554,279,23,0,281,239,94,6,0,109,2489,1127,7,0,1536,1572,712,2,0,731,209,99,0,0,8,0,23143,4884,16,2414,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2804  ,MEDAK                                             ,6186,2631,381,0,5755,0,2167,1997,204,0,2336,0,0,0,0,0,0,0,193,99,4,0,112,252,1323,581,18,0,363,836,3982,2358,154,0,3871,2375,1096,688,295,0,3245,384,13,7,17,0,58,7,9,14,2,0,37,2,0,0,0,0,0,0,3172,2057,259,0,4909,3444,1690,231,0,2777,0,0,0,0,0,1090,561,74,0,143,1035,545,103,0,351,0,0,0,0,0,692,366,52,0,512,571,271,37,0,389,418,142,16,0,184,128,35,4,0,61,1849,773,7,0,1328,1247,439,6,0,586,388,225,82,0,89,0,17845,3591,19,1413,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2808  ,NALGONDA                                          ,6966,1937,374,0,6667,0,2398,1386,13,0,2795,0,0,0,0,0,0,0,78,31,0,0,81,135,960,256,5,0,255,534,4873,1798,46,0,4276,1342,2352,894,244,0,4054,461,23,4,9,0,63,9,6,6,0,0,23,1,0,0,0,0,0,0,4862,1788,187,0,6197,3430,1201,117,0,2555,0,0,0,0,0,511,204,53,0,264,725,267,98,0,477,0,0,0,0,0,831,315,50,0,812,651,233,43,0,440,525,141,17,0,280,210,44,4,0,152,3784,963,10,0,2151,2291,667,1,0,1030,164,137,68,0,31,0,19968,1739,9,4144,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2819  ,NELLORE                                           ,6301,2535,417,0,4890,0,1375,1584,261,0,1681,0,11,1,1,0,2,6,179,102,11,0,147,287,1002,407,68,0,252,242,4188,2542,265,0,3620,1164,1238,890,286,0,2383,297,22,19,15,0,66,4,5,7,63,0,32,15,2,0,0,0,0,0,3706,2119,341,0,4073,2941,1849,368,0,2429,0,0,0,0,0,516,198,25,0,53,706,216,59,0,90,0,0,0,0,0,777,388,70,0,583,837,427,99,0,428,263,78,5,0,114,211,60,6,0,79,2797,1091,16,0,1144,1920,778,14,0,654,193,263,115,0,74,0,17212,1675,15,4203,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2802  ,NIZAMABAD                                         ,4615,1698,291,0,5052,0,2504,2570,0,0,2460,0,0,0,0,0,0,0,200,116,4,0,102,80,1074,582,2,0,395,684,3460,2321,24,0,3319,1186,1290,824,82,0,3035,318,12,9,1,0,47,5,17,9,1,0,21,12,0,0,0,0,0,0,2824,2097,84,0,4517,3229,1764,30,0,2402,0,0,0,0,0,483,178,67,0,207,787,251,110,0,409,0,0,0,0,0,440,262,20,0,502,428,231,21,0,244,252,87,11,0,164,134,33,5,0,81,1471,587,2,0,1340,1143,331,1,0,674,204,22,0,0,23,0,15506,1669,11,1275,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2818  ,PRAKASAM                                          ,7187,2698,366,0,4794,0,1890,1255,148,0,2557,0,0,0,0,0,0,0,172,59,23,0,135,611,1105,376,54,0,253,290,5515,2560,423,0,4162,1519,1884,979,349,0,2567,407,24,7,8,0,65,10,5,6,2,0,23,6,0,0,0,0,0,0,4934,2275,413,0,4843,3771,1712,446,0,2362,0,0,0,0,0,548,280,139,0,89,497,293,191,0,275,0,0,0,0,0,934,426,135,0,742,1011,470,190,0,588,266,91,20,0,129,163,66,16,0,70,3788,1335,17,0,1569,2213,835,10,0,777,673,607,675,0,218,0,19977,2086,10,2832,,,,,,,,,,,,,,,,,,
28,Andhra Pradesh                                    ,2806  ,RANGAREDDI                                        ,5470,1588,656,0,5281,0,8342,3893,662,0,8880,0,0,0,0,0,0,0,505,286,168,0,295,289,1733,768,40,0,636,765,7988,3251,354,0,8023,2116,1727,749,423,0,4428,480,39,14,18,0,95,12,43,19,4,0,48,40,0,0,0,0,0,0,3474,1841,374,0,5884,8561,3246,633,0,7641,0,0,0,0,0,632,292,122,0,225,1529,540,259,0,425,0,0,0,0,0,594,271,19,0,529,893,330,36,0,518,296,81,5,0,194,160,54,4,0,151,1059,300,0,0,523,926,289,5,0,519,384,438,70,0,14,0,29825,2876,13,785,,,,,,,,,,,,,,,,,,
