,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Position of  Teachers by Educational Qualification        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender and Caste Distribution of Teachers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teachers Received In- service Training,,,,,,,,,,,,,,Professionally Trained Teachers,,Non-Teaching Assignment,
,,,,,Teachers in Government Schools,,,,,,,,Teachers in Private Schools,,,,,,,,Teachers in Un-Recognised Schools,,,,,,,,Below Secondary,,,,,,,,Secondary,,,,,,,,Higher Secondary,,,,,,,,Graduate,,,,,,,,Post-Graduate,,,,,,,,M Phil and Ph.D.,,,,,,,,Post-Doctoral,,,,,,,,No Response,,,,,,,,Regular Teachers Male,,,,,,,Regular Teachers Female,,,,,,,Regular Teachers  No Response in Gender,,,,,,,Para-Teachers Male,,,,,,,Para-Teachers Female,,,,,,,Para-Teachers No Response in Gender,,,,,,,SC Teachers Male,,,,,,,SC Teachers Female,,,,,,,ST Teachers Male,,,,,,,ST Teachers Female,,,,,,, Male,,,,,,,Female,,,,,,,,,,
State Code,State Name,District Code,District Name,Academic Year,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,para teacher,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,para teacher,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Para-Teachers,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Para-Teachers,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Para-Teachers,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Para-Teachers,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Para-Teachers,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Para-Teachers,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper Primary sec, Upper Primary sec,Regular Tch,Contract Tch,No. of days involved ,No. of Teachers involved
statecd,statename,distcd,distname,ac_year,tch_govt1,tch_govt2,tch_govt3,tch_govt4,tch_govt5,tch_govt6,tch_govt7,tch_govt9,tch_pvt1,tch_pvt2,tch_pvt3,tch_pvt4,tch_pvt5,tch_pvt6,tch_pvt7,tch_pvt9,tch_un1,tch_un2,tch_un3,tch_un4,tch_un5,tch_un6,tch_un7,tch_un9,tch_bs1,tch_bs2,tch_bs3,tch_bs4,tch_bs5,tch_bs6,tch_bs7,tch_bs_p,tch_s1,tch_s2,tch_s3,tch_s4,tch_s5,tch_s6,tch_s7,tch_s_p,tch_hs1,tch_hs2,tch_hs3,tch_hs4,tch_hs5,tch_hs6,tch_hs7,tch_hs_p,tch_grad1,tch_grad2,tch_grad3,tch_grad4,tch_grad5,tch_grad6,tch_grad7,tch_grad_p,tch_pgrad1,tch_pgrad2,tch_pgrad3,tch_pgrad4,tch_pgrad5,tch_pgrad6,tch_pgrad7,tch_pgrad_p,tch_mph1,tch_mph2,tch_mph3,tch_mph4,tch_mph5,tch_mph6,tch_mph7,tch_mph_p,tch_pd1,tch_pd2,tch_pd3,tch_pd4,tch_pd5,tch_pd6,tch_pd7,tch_pd_p,tch_eduqual_nr1,tch_eduqual_nr2,tch_eduqual_nr3,tch_eduqual_nr4,tch_eduqual_nr5,tch_eduqual_nr6,tch_eduqual_nr7,tch_eduqual_nr_p,tch_m1,tch_m2,tch_m3,tch_m4,tch_m5,tch_m6,tch_m7,tch_f1,tch_f2,tch_f3,tch_f4,tch_f5,tch_f6,tch_f7,tch_nr1,tch_nr2,tch_nr3,tch_nr4,tch_nr5,tch_nr6,tch_nr7,tch_m_p1,tch_m_p2,tch_m_p3,tch_m_p4,tch_m_p5,tch_m_p6,tch_m_p7,tch_f_p1,tch_f_p2,tch_f_p3,tch_f_p4,tch_f_p5,tch_f_p6,tch_f_p7,tch_nr_p1,tch_nr_p2,tch_nr_p3,tch_nr_p4,tch_nr_p5,tch_nr_p6,tch_nr_p7,tch_sc_m1,tch_sc_m2,tch_sc_m3,tch_sc_m4,tch_sc_m5,tch_sc_m6,tch_sc_m7,tch_sc_f1,tch_sc_f2,tch_sc_f3,tch_sc_f4,tch_sc_f5,tch_sc_f6,tch_sc_f7,tch_st_m1,tch_st_m2,tch_st_m3,tch_st_m4,tch_st_m5,tch_st_m6,tch_st_m7,tch_st_f1,tch_st_f2,tch_st_f3,tch_st_f4,tch_st_f5,tch_st_f6,tch_st_f7,trn_tch_m1,trn_tch_m2,trn_tch_m3,trn_tch_m4,trn_tch_m5,trn_tch_m6,trn_tch_m7,trn_tch_f1,trn_tch_f2,trn_tch_f3,trn_tch_f4,trn_tch_f5,trn_tch_f6,trn_tch_f7,prof_trn_tch_r,prof_trn_tch_p,days_nontch,tch_nontch
35,ANDAMAN & NICOBAR ISLANDS                         ,3501  ,ANDAMANS                                          ,2013-14,323,414,1077,0,127,390,0,0,282,131,316,0,0,103,0,0,0,0,0,0,0,0,0,0,11,8,11,0,0,4,0,5,4,9,22,0,2,16,0,5,250,181,241,0,27,162,0,83,145,204,439,0,44,178,0,82,58,110,541,0,46,112,0,76,2,7,66,0,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,155,501,0,65,165,0,343,364,819,0,57,312,0,0,0,0,0,0,0,0,12,7,15,0,1,3,0,123,19,58,0,4,13,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,0,6,3,15,0,0,8,0,13,5,20,0,1,13,0,32,30,41,0,9,23,0,75,79,82,0,8,35,0,2873,232,14,50
35,ANDAMAN & NICOBAR ISLANDS                         ,3503  ,MIDDLE AND NORTH ANDAMANS                         ,2013-14,299,260,310,0,245,339,0,0,68,57,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,8,5,3,0,1,6,0,0,248,101,58,0,3,105,0,38,57,93,93,0,59,115,0,80,26,30,123,0,134,66,0,97,1,3,10,0,15,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,167,112,150,0,121,139,0,173,120,138,0,92,157,0,0,0,0,0,0,0,0,5,29,1,0,8,17,0,22,56,21,0,24,42,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,7,0,7,0,0,2,1,3,0,5,3,0,75,45,6,0,21,26,0,51,36,8,0,24,41,0,1355,218,6,78
35,ANDAMAN & NICOBAR ISLANDS                         ,3502  ,NICOBARS                                          ,2013-14,101,89,59,0,138,114,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,22,4,7,0,2,8,0,4,64,30,7,0,1,31,0,6,6,35,18,0,36,42,0,27,3,5,15,0,62,10,0,41,0,0,5,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,28,28,0,60,34,0,61,46,24,0,50,60,0,0,0,0,0,0,0,0,1,8,2,0,13,7,0,9,7,5,0,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,19,0,20,24,0,46,26,16,0,28,45,0,19,12,5,0,16,11,0,32,21,6,0,18,37,0,412,76,11,33
28,ANDHRA PRADESH                                    ,2801  ,ADILABAD                                          ,2013-14,5144,1764,87,5,75,1198,4461,0,2069,2544,0,0,0,469,2193,0,197,89,0,0,0,5,5,0,14,1,0,0,0,1,0,0,793,152,0,0,0,39,50,64,1804,693,1,0,0,130,253,127,3383,2415,1,1,14,623,2886,560,1153,998,34,4,58,508,3009,418,21,26,1,0,3,8,55,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4238,2343,23,5,50,865,4400,2930,1942,14,0,25,444,1853,2,0,0,0,0,0,0,110,46,15,0,0,198,53,130,66,35,0,0,165,353,0,0,0,0,0,0,0,593,390,12,0,5,88,612,445,307,18,0,6,64,318,1536,322,2,2,4,543,279,335,141,1,0,0,196,200,1425,455,0,0,0,44,408,618,240,1,0,0,10,178,17802,974,6,315
28,ANDHRA PRADESH                                    ,2822  ,ANANTAPUR                                         ,2013-14,6139,2907,101,0,204,210,7080,0,2374,2295,64,0,0,106,2623,0,74,46,0,0,0,42,0,0,9,7,0,0,0,0,0,2,180,101,1,0,1,2,81,38,1134,491,1,0,2,13,206,53,4630,2955,29,0,10,93,3990,380,2524,1607,89,0,184,162,4811,295,32,31,4,0,7,3,99,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4475,2966,56,0,123,153,5803,4034,2226,68,0,81,120,3384,0,0,0,0,0,0,0,42,32,19,0,0,33,48,36,24,22,0,0,52,468,0,0,0,0,0,0,0,531,326,5,0,15,23,626,514,292,6,0,6,21,501,276,152,3,0,9,8,219,161,67,1,0,6,8,164,1952,809,3,0,0,0,462,1298,487,1,0,0,0,259,23268,739,14,1086
28,ANDHRA PRADESH                                    ,2823  ,CHITTOOR                                          ,2013-14,7234,2450,193,0,157,103,7506,0,3253,1840,137,0,0,182,3735,0,128,67,0,0,0,0,74,0,2,19,0,0,0,0,2,0,382,116,4,0,0,7,196,1,1783,554,9,0,2,32,415,17,5938,2432,71,0,5,85,5408,122,2419,1179,190,0,137,126,4926,84,75,38,16,0,13,7,244,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5050,2073,146,0,83,100,6758,5549,2265,144,0,74,157,4433,0,0,0,0,0,0,0,7,6,10,0,0,0,10,9,13,30,0,0,28,114,0,0,0,0,0,0,0,917,289,22,0,17,4,822,594,242,13,0,11,4,484,227,82,5,0,13,3,191,184,63,3,0,2,2,162,3226,1051,0,0,0,0,1553,2472,831,2,0,1,2,1050,26453,226,6,213
28,ANDHRA PRADESH                                    ,2820  ,CUDDAPAH                                          ,2013-14,5858,1384,134,0,74,140,4267,0,1790,1469,0,0,0,244,2266,0,111,43,0,0,0,18,11,0,4,1,0,0,0,0,1,2,146,50,0,0,0,9,90,36,1011,253,0,0,1,31,253,74,4427,1803,12,0,9,201,3282,343,1976,688,78,0,60,72,2558,182,29,16,10,0,2,11,81,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4409,1681,74,0,38,148,4243,3184,1130,26,0,34,176,2022,0,0,0,0,0,0,0,71,39,7,0,2,28,72,95,46,27,0,0,50,207,0,0,0,0,0,0,0,592,158,5,0,6,13,432,454,157,6,0,6,33,296,258,52,1,0,0,2,118,91,31,0,0,3,2,92,1445,296,0,0,0,0,212,954,214,0,0,0,1,148,17055,596,9,180
28,ANDHRA PRADESH                                    ,2814  ,EAST GODAVARI                                     ,2013-14,7499,1618,206,0,39,608,7961,0,3735,4605,88,0,16,869,3736,0,325,367,0,0,0,149,73,0,10,11,0,0,0,1,3,2,420,205,7,0,1,49,198,35,1702,741,7,0,3,146,307,38,6989,4352,60,0,5,870,6022,190,2355,1185,166,0,39,458,4893,136,47,42,16,0,2,16,163,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5469,3162,126,0,31,677,6892,6054,3374,130,0,19,863,4694,0,0,0,0,0,0,0,15,24,5,0,2,31,62,21,30,33,0,3,55,122,0,0,0,0,0,0,0,965,602,37,0,8,118,1159,1272,750,37,0,10,139,915,626,175,1,0,0,205,246,397,91,1,0,0,191,194,3176,645,0,0,0,63,1024,2371,415,0,0,0,39,600,30013,364,6,1045
28,ANDHRA PRADESH                                    ,2817  ,GUNTUR                                            ,2013-14,6760,2010,154,0,147,158,5476,0,2308,2268,20,0,12,1309,2779,0,549,893,0,0,0,1225,154,0,5,1,0,0,0,2,0,13,244,210,1,0,9,70,251,275,952,359,5,0,8,83,300,341,5588,2652,46,0,10,806,4234,1779,2201,1045,108,0,117,463,3141,677,25,24,7,0,11,19,100,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4064,1910,119,0,76,604,4516,4951,2381,48,0,79,839,3510,0,0,0,0,0,0,0,171,344,0,0,3,490,125,431,536,7,0,1,759,258,0,0,0,0,0,0,0,763,407,32,0,15,189,766,1155,581,15,0,14,255,752,265,100,5,0,5,31,150,176,73,0,0,2,21,129,2009,620,0,0,0,0,148,1917,544,0,0,0,0,100,22423,2397,6,485
28,ANDHRA PRADESH                                    ,2805  ,HYDERABAD                                         ,2013-14,2449,43,130,0,25,103,2740,0,6821,3069,472,5,1,1182,8134,0,352,193,0,0,0,16,103,0,21,2,0,0,0,1,4,0,405,198,5,0,1,26,235,15,1196,422,16,3,0,84,555,0,5902,2122,378,1,4,768,6067,5,2006,509,188,1,21,391,3924,2,75,52,15,0,0,24,192,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1428,635,120,1,1,279,3100,8179,2670,482,4,25,1015,7877,0,0,0,0,0,0,0,10,0,0,0,0,2,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,64,12,4,0,0,5,148,430,79,0,0,5,12,376,41,9,2,0,0,1,37,93,13,0,0,1,0,66,77,0,0,0,0,3,19,280,5,0,0,0,8,31,24772,7,12,103
28,ANDHRA PRADESH                                    ,2803  ,KARIMNAGAR                                        ,2013-14,4828,2022,181,0,382,213,7194,0,3005,3188,0,0,0,409,3853,0,85,29,0,0,0,0,5,0,52,7,0,0,0,0,0,1,201,197,0,0,0,18,154,84,1049,563,8,0,0,36,298,52,4625,3199,12,0,8,291,5193,354,1754,1190,112,0,350,174,4845,338,33,48,6,0,22,4,112,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3782,2921,85,0,234,301,7274,3932,2283,53,0,146,222,3328,0,0,0,0,0,0,0,55,20,6,0,2,46,51,149,15,37,0,0,53,399,0,0,0,0,0,0,0,454,380,27,0,35,47,783,568,314,15,0,20,39,455,187,76,5,0,10,13,179,134,44,3,0,4,4,106,858,367,0,0,6,8,307,578,196,0,0,4,2,140,23789,751,10,218
28,ANDHRA PRADESH                                    ,2810  ,KHAMMAM                                           ,2013-14,5192,2129,231,0,46,486,5026,0,2106,1574,0,0,0,482,2196,0,63,109,0,0,0,99,32,0,21,4,0,0,0,1,15,1,359,84,0,0,0,31,169,26,824,229,0,0,2,29,159,53,4331,2473,21,0,0,575,3771,520,1612,908,138,0,30,282,2800,239,16,9,5,0,0,0,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3781,2036,80,0,15,478,4251,3382,1671,84,0,17,440,2690,0,0,0,0,0,0,0,63,33,19,0,12,44,53,135,72,48,0,2,105,260,0,0,0,0,0,0,0,503,292,32,0,1,80,570,580,300,40,0,4,89,428,1673,713,7,0,7,171,974,814,377,2,0,3,147,562,874,299,0,0,0,0,84,517,152,0,0,0,6,65,18889,836,6,230
28,ANDHRA PRADESH                                    ,2816  ,KRISHNA                                           ,2013-14,4688,2466,161,0,30,157,5513,0,3111,2976,131,3,38,1188,3349,0,134,314,0,0,0,172,49,0,5,14,0,0,0,1,0,1,255,241,15,0,5,58,212,7,1077,616,18,0,1,105,320,14,4804,3500,67,3,14,819,4801,76,1741,1314,169,0,46,445,3477,54,33,41,10,0,2,10,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2949,2306,96,1,40,506,4535,4966,3420,183,2,28,932,4362,0,0,0,0,0,0,0,6,14,0,0,0,35,5,12,16,13,0,0,44,9,0,0,0,0,0,0,0,655,485,15,0,5,89,785,1020,687,44,1,3,151,738,151,96,0,0,0,6,134,110,89,2,0,0,5,105,1441,750,0,0,0,4,498,1542,733,0,0,1,0,422,23923,153,9,826
28,ANDHRA PRADESH                                    ,2821  ,KURNOOL                                           ,2013-14,5194,1905,171,0,273,261,5925,0,3231,3401,36,0,0,30,3449,0,88,24,0,0,0,0,0,0,18,7,0,0,0,1,2,0,257,214,5,0,3,11,139,33,1159,730,12,0,4,11,366,40,4844,3235,51,0,21,59,4384,278,2134,1092,90,0,217,131,3947,261,56,28,11,0,16,5,111,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023,2722,92,0,142,112,5426,4445,2584,77,0,119,106,3523,0,0,0,0,0,0,0,35,12,4,0,11,28,25,10,12,34,0,1,45,400,0,0,0,0,0,0,0,685,421,19,0,20,21,716,732,452,28,0,22,38,725,196,87,2,0,4,20,162,147,81,1,0,1,9,122,1692,507,0,0,0,0,311,1133,379,0,0,0,3,227,22789,605,7,442
28,ANDHRA PRADESH                                    ,2807  ,MAHBUBNAGAR                                       ,2013-14,5896,2765,119,0,81,193,7356,0,3101,3002,0,0,11,408,3043,0,160,68,0,0,0,0,9,0,41,12,0,0,0,0,3,0,435,308,0,0,0,28,282,76,1577,833,0,0,1,37,359,113,5101,3255,10,0,8,287,4568,382,1785,1297,65,0,72,200,4571,310,35,28,1,0,2,3,116,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4428,3148,26,0,53,315,6427,4546,2585,50,0,30,240,3472,0,0,0,0,0,0,0,95,46,5,0,7,21,61,88,56,38,0,2,25,448,0,0,0,0,0,0,0,701,420,6,0,12,22,800,482,313,7,0,4,23,408,346,208,1,0,2,18,317,183,98,1,0,1,12,136,876,365,0,0,0,0,271,661,263,0,0,0,0,158,24883,852,13,177
