Number of Schools with girls toilets,,Classrooms needs Minor Repair,,,,Number of Schools approachable by all weather roads ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Schools with drinking water facility,,Other Rooms,,,,Number of Schools with SCR above ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Number of Schools with PTR above ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Average Instructional Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incentive Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total Schools - Government,,,,,,,,Total Schools - Private,,,,,,,,Rural Schools -Government,,,,,,,,Rural Schools -Private,,,,,,,,Number of Single Classroom Schools,,,,,,,,Number of Single Teacher Schools,,,,,,,,Number of Schools with pre-primary sections,,,,Number of Schools with girls' toilets,,,,,,,,Number of Schools with drinking water facility,,,,,,,,Enrolment in Single-teacher Schools,,,,,,,,No female teacher schools (tch>=2),,,,,,,,Number of Schools with <=50 Students,,,,,,,,Number of Government Schools Opened since 2003,,,,,,,Number of Government Schools having Kitchen-shed,,,,,,,Total Classrooms,,,,,,,,Classrooms in Good Condition,,,,,,,,Classrooms need Major Repairs,,,,,,,,Classrooms needs Minor Repair,,,,,,,,Other Rooms,,,,,,,,Percentage of Schools received School Development Grant (Previous Year),,,,,,,Percentage of Schools received TLM Grant (Previous Year),,,,,,,Text Book,,,,Uniform,,,,Attendance,,,,Stationary,,,,Transport ,,,,Residential ,,,,Unrecognised & Madarsa Schools ,,,,,,,,Percentage of Schools with Boys Toilet ,,,,,,,Number of Schools with Electricity ,,,,,,,Number of Schools with Computer ,,,,,,,Number of Schools with MDM ,,,,,,,Number of Schools with SMC ,,,,,,,Number of Schools approachable by all weather  roads,,,,,,,Number of Schools with SCR above,,Number of Schools with PTR above,,Average Instructional Days ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Code,State Name,District Code,District Name,Academic Year,Primary,Primary with Upper primary,Primary with Upper Primary sec and higher sec.,Upper Primary Only,Upper Primary with sec. and higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No Response,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total Number of Single Classroom Schools,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total Number of Single Teacher Schools,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Primary with Upper primary and secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total Number of Schools with  girls toilets,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total number of Schools with drinking water facility,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total Enrolemt in Single-teacher Schools,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No female teacher schools (tch>=2),Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total Number of Schools with <=50 Students,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total ,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total ,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total ,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total ,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Total ,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary Boys,Primary Girls,Upper Primary Boys,Upper Primary Girls,Primary Boys,Primary Girls,Upper Primary Boys,Upper Primary Girls,Primary Boys,Primary Girls,Upper Primary Boys,Upper Primary Girls,Primary Boys,Primary Girls,Upper Primary Boys,Upper Primary Girls,Primary Boys,Primary Girls,Upper Primary Boys,Upper Primary Girls,Primary Boys,Primary Girls,Upper Primary Boys,Upper Primary Girls,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,No response ,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,Primary,Primary with Upper primary,Primary with Upper Primary sec/higher sec.,Upper Primary Only,Upper Primary with sec./higher sec.,Primary with Upper primary and secondary,Upper Primary with secondary,30 at Primary Level ,35 at Upper Primary Level ,30 at Primary Level ,35 at Upper Primary Level ,Primary ,Upper  Primary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statecd,State Name ,distcd,distname,ac_year,schgovt1,schgovt2,schgovt3,schgovt4,schgovt5,schgovt6,schgovt7,schgovt9,schpvt1,schpvt2,schpvt3,schpvt4,schpvt5,schpvt6,schpvt7,schpvt9,Sch R Govt1,Sch R Govt2,Sch R Govt3,Sch R Govt4,Sch R Govt5,Sch R Govt6,Sch R Govt7,Sch R Govt9,Sch R Pvt1,Sch R Pvt2,Sch R Pvt3,Sch R Pvt4,Sch R Pvt5,Sch R Pvt6,Sch R Pvt7,Sch R Pvt9,Cls1 School1,Cls1 School2,Cls1 School3,Cls1 School4,Cls1 School5,Cls1 School6,Cls1 School7,Cls1 School,Tch1 School1,Tch1 School2,Tch1 School3,Tch1 School4,Tch1 School5,Tch1 School6,Tch1 School7,Tch1 School,Pp Sch1,Pp Sch2,Pp Sch3,Pp Sch6,Gtoilet Sch1,Gtoilet Sch2,Gtoilet Sch3,Gtoilet Sch4,Gtoilet Sch5,Gtoilet Sch6,Gtoilet Sch7,Gtoilet Sch,Water Sch1,Water Sch2,Water Sch3,Water Sch4,Water Sch5,Water Sch6,Water Sch7,Water Sch,Enr Stch Sch1,Enr Stch Sch2,Enr Stch Sch3,Enr Stch Sch4,Enr Stch Sch5,Enr Stch Sch6,Enr Stch Sch7,Enr Stch Sch,No Fem Sch1,No Fem Sch2,No Fem Sch3,No Fem Sch4,No Fem Sch5,No Fem Sch6,No Fem Sch7,No Fem Sch,Sch 50enr1,Sch 50enr2,Sch 50enr3,Sch 50enr4,Sch 50enr5,Sch 50enr6,Sch 50enr7,Sch 50enr,Sch Since 2003 1,Sch Since 2003 2,Sch Since 2003 3,Sch Since 2003 4,Sch Since 2003 5,Sch Since 2003 6,Sch Since 2003 7,Kitshed1,Kitshed2,Kitshed3,Kitshed4,Kitshed5,Kitshed6,Kitshed7,Tot Cls1,Tot Cls2,Tot Cls3,Tot Cls4,Tot Cls5,Tot Cls6,Tot Cls7,Tot Cls,Cls Good1,Cls Good2,Cls Good3,Cls Good4,Cls Good5,Cls Good6,Cls Good7,Cls Good,Cls Major1,Cls Major2,Cls Major3,Cls Major4,Cls Major5,Cls Major6,Cls Major7,Cls Major,Cls Minor1,Cls Minor2,Cls Minor3,Cls Minor4,Cls Minor5,Cls Minor6,Cls Minor7,Cls Minor,Cls Other1,Cls Other2,Cls Other3,Cls Other4,Cls Other5,Cls Other6,Cls Other7,Cls Other,Sdg 1,Sdg 2,Sdg 3,Sdg 4,Sdg 5,Sdg 6,Sdg 7,Tlm 1,Tlm 2,Tlm 3,Tlm 4,Tlm 5,Tlm 6,Tlm 7,Book P B,Book P G,Book Up B,Book Up G,Uniform P B,Uniform P G,Uniform Up B,Uniform Up G,Attend P B,Attend P G,Attend Up B,Attend Up G,Station P B,Station P G,Station Up B,Station Up G,Transport P B,Transport P G,Transport Up B,Transport Up G,Residential P B,Residential P G,Residential Up B,Residential Up G,Sch Un1,Sch Un2,Sch Un3,Sch Un4,Sch Un5,Sch Un6,Sch Un7,Sch Un9,Btoilet Sch1,Btoilet Sch2,Btoilet Sch3,Btoilet Sch4,Btoilet Sch5,Btoilet Sch6,Btoilet Sch7,Electric Sch1,Electric Sch2,Electric Sch3,Electric Sch4,Electric Sch5,Electric Sch6,Electric Sch7,Computer Sch1,Computer Sch2,Computer Sch3,Computer Sch4,Computer Sch5,Computer Sch6,Computer Sch7,Mdm 1,Mdm 2,Mdm 3,Mdm 4,Mdm 5,Mdm 6,Mdm 7,Smc 1,Smc 2,Smc 3,Smc 4,Smc 5,Smc 6,Smc 7,App By Road 1,App By Road 2,App By Road 3,App By Road 4,App By Road 5,App By Road 6,App By Road 7,Scr 30 P,Scr 35 Up,Ptr 30 P,Ptr 35 Up,Avg Instn Days P,Avg Instn Days Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ANDAMAN & NICOBAR ISLANDS                         ,3501,ANDAMANS                                          ,2012-13,61,26,19,0,5,14,0,0,66,9,8,0,0,4,0,0,50,23,10,0,3,9,0,0,37,7,3,0,0,3,0,0,6,2,0,0,0,0,0,8,4,0,0,0,0,0,0,4,0,0,0,0,93.70,100.00,100.00,0.00,100.00,100.00,0.00,96.23,127,35,27,0,5,18,0,212,2,0,0,0,0,0,0,2,8,2,0,0,0,0,0,10,99,5,1,0,2,2,0,109,4,0,0,0,0,1,0,3,8,2,0,0,2,0,550,306,431,0,28,205,0,0,468,231,371,0,29,170,0,0,14,13,16,0,0,16,0,0,74,75,32,0,1,20,0,0,143,135,259,0,38,130,0,0,88.52,100.00,76.19,0.00,80.00,92.86,0.00,86.89,96.15,85.71,0.00,80.00,92.86,0.00,5475,5438,4355,4142,1758,1926,3726,3615,28,19,5,12,4803,4832,1377,1446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.80,94.29,100.00,0.00,80.00,100.00,0.00,124,34,27,0,5,18,0,56,32,26,0,5,17,0,55,26,16,0,5,14,0,57,26,17,0,5,13,0,124,33,26,0,5,18,0,30,18,1,0,215,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
